Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_B10_S84.bam,Bamfield,New,S1
./bam_bais/ngm_dtas_rg_23442Pal_B11_S85.bam,Bamfield,New,S2
./bam_bais/ngm_dtas_rg_23442Pal_B12_S86.bam,Bamfield-R,New,S3
./bam_bais/ngm_dtas_rg_23442Pal_B13_S87.bam,Bamfield,New,S4
./bam_bais/ngm_dtas_rg_23442Pal_B14_S88.bam,Bamfield,New,S5
./bam_bais/ngm_dtas_rg_23442Pal_B15_S89.bam,Bamfield,New,S6
./bam_bais/ngm_dtas_rg_23442Pal_B16_S90.bam,Bamfield,New,S7
./bam_bais/ngm_dtas_rg_23442Pal_B17_S91.bam,Bamfield,New,S8
./bam_bais/ngm_dtas_rg_23442Pal_B18_S92.bam,Bamfield,New,S9
./bam_bais/ngm_dtas_rg_23442Pal_B19_S93.bam,Bamfield-R,New,S10
./bam_bais/ngm_dtas_rg_23442Pal_B1_S76.bam,Bamfield,New,S11
./bam_bais/ngm_dtas_rg_23442Pal_B20_S94.bam,Bamfield,New,S12
./bam_bais/ngm_dtas_rg_23442Pal_B21_S95.bam,Bamfield,New,S13
./bam_bais/ngm_dtas_rg_23442Pal_B22_S96.bam,Bamfield,New,S14
./bam_bais/ngm_dtas_rg_23442Pal_B2_S77.bam,Bamfield-R,New,S15
./bam_bais/ngm_dtas_rg_23442Pal_B3_S78.bam,Bamfield,New,S16
./bam_bais/ngm_dtas_rg_23442Pal_B5_S79.bam,Bamfield,New,S17
./bam_bais/ngm_dtas_rg_23442Pal_B6_S80.bam,Bamfield,New,S18
./bam_bais/ngm_dtas_rg_23442Pal_B7_S81.bam,Bamfield,New,S19
./bam_bais/ngm_dtas_rg_23442Pal_B8_S82.bam,Bamfield,New,S20
./bam_bais/ngm_dtas_rg_23442Pal_B9_S83.bam,Bamfield,New,S21
./bam_bais/ngm_dtas_rg_23442Pal_C10_S169.bam,Central BC,Historic,S22
./bam_bais/ngm_dtas_rg_23442Pal_C1_S160.bam,Central BC,Historic,S23
./bam_bais/ngm_dtas_rg_23442Pal_C2_S161.bam,Central BC,Historic,S24
./bam_bais/ngm_dtas_rg_23442Pal_C3_S162.bam,Central BC,Historic,S25
./bam_bais/ngm_dtas_rg_23442Pal_C4_S163.bam,Central BC,Historic,S26
./bam_bais/ngm_dtas_rg_23442Pal_C5_S164.bam,Central BC,Historic,S27
./bam_bais/ngm_dtas_rg_23442Pal_C6_S165.bam,Central BC,Historic,S28
./bam_bais/ngm_dtas_rg_23442Pal_C7_S166.bam,Central BC,Historic,S29
./bam_bais/ngm_dtas_rg_23442Pal_C8_S167.bam,Central BC,Historic,S30
./bam_bais/ngm_dtas_rg_23442Pal_C9_S168.bam,Central BC,Historic,S31
./bam_bais/ngm_dtas_rg_23442Pal_EB1_S183.bam,Santa Barbara,Historic,S32
./bam_bais/ngm_dtas_rg_23442Pal_F10_S57.bam,Fort Bragg,New,S33
./bam_bais/ngm_dtas_rg_23442Pal_F11_S58.bam,Fort Bragg,New,S34
./bam_bais/ngm_dtas_rg_23442Pal_F12_S59.bam,Fort Bragg,New,S35
./bam_bais/ngm_dtas_rg_23442Pal_F13_S60.bam,Fort Bragg,New,S36
./bam_bais/ngm_dtas_rg_23442Pal_F14_S61.bam,Fort Bragg,New,S37
./bam_bais/ngm_dtas_rg_23442Pal_F15_S62.bam,Fort Bragg,New,S38
./bam_bais/ngm_dtas_rg_23442Pal_F16_S63.bam,Fort Bragg,New,S39
./bam_bais/ngm_dtas_rg_23442Pal_F17_S64.bam,Fort Bragg,New,S40
./bam_bais/ngm_dtas_rg_23442Pal_F18_S65.bam,Fort Bragg,New,S41
./bam_bais/ngm_dtas_rg_23442Pal_F19_S66.bam,Fort Bragg,New,S42
./bam_bais/ngm_dtas_rg_23442Pal_F1_S49.bam,Fort Bragg,New,S43
