Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_B10_S84.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B10_S84.bam
./bam_bais/ngm_dtas_rg_23442Pal_B13_S87.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B13_S87.bam
./bam_bais/ngm_dtas_rg_23442Pal_B14_S88.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B14_S88.bam
./bam_bais/ngm_dtas_rg_23442Pal_B15_S89.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B15_S89.bam
./bam_bais/ngm_dtas_rg_23442Pal_B17_S91.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B17_S91.bam
./bam_bais/ngm_dtas_rg_23442Pal_B1_S76.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B1_S76.bam
./bam_bais/ngm_dtas_rg_23442Pal_B20_S94.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B20_S94.bam
./bam_bais/ngm_dtas_rg_23442Pal_B21_S95.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B21_S95.bam
./bam_bais/ngm_dtas_rg_23442Pal_B3_S78.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B3_S78.bam
./bam_bais/ngm_dtas_rg_23442Pal_B6_S80.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B6_S80.bam
./bam_bais/ngm_dtas_rg_23442Pal_B7_S81.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B7_S81.bam
./bam_bais/ngm_dtas_rg_23442Pal_B8_S82.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B8_S82.bam
./bam_bais/ngm_dtas_rg_23442Pal_B9_S83.bam,Bamfield,New,./bam_bais/ngm_dtas_rg_23442Pal_B9_S83.bam
./bam_bais/ngm_dtas_rg_23442Pal_F10_S57.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F10_S57.bam
./bam_bais/ngm_dtas_rg_23442Pal_F11_S58.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F11_S58.bam
./bam_bais/ngm_dtas_rg_23442Pal_F12_S59.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F12_S59.bam
./bam_bais/ngm_dtas_rg_23442Pal_F13_S60.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F13_S60.bam
./bam_bais/ngm_dtas_rg_23442Pal_F14_S61.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F14_S61.bam
./bam_bais/ngm_dtas_rg_23442Pal_F15_S62.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F15_S62.bam
./bam_bais/ngm_dtas_rg_23442Pal_F16_S63.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F16_S63.bam
./bam_bais/ngm_dtas_rg_23442Pal_F17_S64.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F17_S64.bam
./bam_bais/ngm_dtas_rg_23442Pal_F18_S65.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F18_S65.bam
./bam_bais/ngm_dtas_rg_23442Pal_F19_S66.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F19_S66.bam
./bam_bais/ngm_dtas_rg_23442Pal_F1_S49.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F1_S49.bam
./bam_bais/ngm_dtas_rg_23442Pal_F20_S67.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F20_S67.bam
./bam_bais/ngm_dtas_rg_23442Pal_F21_S68.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F21_S68.bam
./bam_bais/ngm_dtas_rg_23442Pal_F22_S69.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F22_S69.bam
./bam_bais/ngm_dtas_rg_23442Pal_F23_S70.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F23_S70.bam
./bam_bais/ngm_dtas_rg_23442Pal_F24_S71.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F24_S71.bam
./bam_bais/ngm_dtas_rg_23442Pal_F25_S72.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F25_S72.bam
./bam_bais/ngm_dtas_rg_23442Pal_F26_S73.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F26_S73.bam
./bam_bais/ngm_dtas_rg_23442Pal_F27_S74.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F27_S74.bam
./bam_bais/ngm_dtas_rg_23442Pal_F28_S75.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F28_S75.bam
./bam_bais/ngm_dtas_rg_23442Pal_F2_S50.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F2_S50.bam
./bam_bais/ngm_dtas_rg_23442Pal_F4_S51.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F4_S51.bam
./bam_bais/ngm_dtas_rg_23442Pal_F5_S52.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F5_S52.bam
./bam_bais/ngm_dtas_rg_23442Pal_F6_S53.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F6_S53.bam
./bam_bais/ngm_dtas_rg_23442Pal_F7_S54.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F7_S54.bam
./bam_bais/ngm_dtas_rg_23442Pal_F8_S55.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F8_S55.bam
./bam_bais/ngm_dtas_rg_23442Pal_F9_S56.bam,Fort Bragg,New,./bam_bais/ngm_dtas_rg_23442Pal_F9_S56.bam
./bam_bais/ngm_dtas_rg_23442Pal_H10_S9.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H10_S9.bam
./bam_bais/ngm_dtas_rg_23442Pal_H11_S10.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H11_S10.bam
./bam_bais/ngm_dtas_rg_23442Pal_H1_S1.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H1_S1.bam
./bam_bais/ngm_dtas_rg_23442Pal_H2_S2.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H2_S2.bam
./bam_bais/ngm_dtas_rg_23442Pal_H3_S3.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H3_S3.bam
./bam_bais/ngm_dtas_rg_23442Pal_H4_S4.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H4_S4.bam
./bam_bais/ngm_dtas_rg_23442Pal_H5_S5.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H5_S5.bam
./bam_bais/ngm_dtas_rg_23442Pal_H6_S6.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H6_S6.bam
./bam_bais/ngm_dtas_rg_23442Pal_H7_S7.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H7_S7.bam
./bam_bais/ngm_dtas_rg_23442Pal_H8_S8.bam,Hazard Canyon,New,./bam_bais/ngm_dtas_rg_23442Pal_H8_S8.bam
./bam_bais/ngm_dtas_rg_23442Pal_L10_S144.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L10_S144.bam
./bam_bais/ngm_dtas_rg_23442Pal_L11_S145.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L11_S145.bam
./bam_bais/ngm_dtas_rg_23442Pal_L12_S146.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L12_S146.bam
