INDV,O(HOM),E(HOM),N_SITES,F,group
23442Pal_G1_S150_23442Pal_G1_S150,5841089,5.13E+06,6892600,0.4053,Haida Gwaii (Hi)
23442Pal_G2_S151_23442Pal_G2_S151,5858635,5.01E+06,6730054,0.4943,Haida Gwaii (Hi)
23442Pal_G3_S152_23442Pal_G3_S152,5883960,5.04E+06,6779567,0.4845,Haida Gwaii (Hi)
23442Pal_G5_S153_23442Pal_G5_S153,5564586,4.62E+06,6189839,0.6023,Haida Gwaii (Hi)
23442Pal_G7_S154_23442Pal_G7_S154,5791983,4.98E+06,6688970,0.4761,Haida Gwaii (Hi)
23442Pal_G8_S155_23442Pal_G8_S155,5789022,4.90E+06,6580475,0.5294,Haida Gwaii (Hi)
23442Pal_G9_S156_23442Pal_G9_S156,5677274,4.71E+06,6322714,0.5988,Haida Gwaii (Hi)
23442Pal_G10_S157_23442Pal_G10_S157,5607580,5.29E+06,7118964,0.1737,Haida Gwaii (Hi)
23442Pal_G11_S158_23442Pal_G11_S158,5710871,4.75E+06,6381138,0.588,Haida Gwaii (Hi)
23442Pal_G12_S159_23442Pal_G12_S159,5804557,5.06E+06,6800584,0.4283,Haida Gwaii (Hi)
23442Pal_C1_S160_23442Pal_C1_S160,4027050,3.19E+06,4205785,0.8244,Central BC (Hi)
23442Pal_C2_S161_23442Pal_C2_S161,4225750,3.38E+06,4467965,0.7771,Central BC (Hi)
23442Pal_C3_S162_23442Pal_C3_S162,4119120,3.35E+06,4409893,0.727,Central BC (Hi)
23442Pal_C4_S163_23442Pal_C4_S163,4230924,3.39E+06,4476097,0.7748,Central BC (Hi)
23442Pal_C5_S164_23442Pal_C5_S164,4312582,3.46E+06,4572634,0.7667,Central BC (Hi)
23442Pal_C6_S165_23442Pal_C6_S165,4379134,3.55E+06,4694512,0.7248,Central BC (Hi)
23442Pal_C7_S166_23442Pal_C7_S166,4539633,3.79E+06,5020358,0.6094,Central BC (Hi)
23442Pal_C8_S167_23442Pal_C8_S167,4394207,3.63E+06,4800157,0.6538,Central BC (Hi)
23442Pal_C9_S168_23442Pal_C9_S168,4497600,3.71E+06,4908753,0.6577,Central BC (Hi)
