location	LR	alpha
214253.000000	0.000000	1.200000e+03
215253.050902	0.000000	1.199939e-02
216253.101805	0.000000	5.999695e-03
217253.152707	0.000000	3.999797e-03
218253.203610	0.000000	2.999847e-03
219253.254512	0.000000	2.399878e-03
220253.305415	0.000000	1.999899e-03
221253.356317	0.000000	1.714199e-03
222253.407220	0.000000	1.499924e-03
223253.458122	0.000000	1.333266e-03
224253.509025	0.000000	1.199939e-03
225253.559927	0.000000	1.090854e-03
226253.610830	0.000000	9.999495e-04
227253.661732	0.000000	9.230303e-04
228253.712635	0.000000	8.570993e-04
229253.763537	0.000000	7.999596e-04
230253.814440	0.000000	7.499619e-04
231253.865342	0.000000	7.058467e-04
232253.916245	0.000000	6.666329e-04
233253.967147	0.000000	6.315468e-04
234254.018050	0.000000	5.999695e-04
235254.068952	0.000000	5.713995e-04
236254.119855	0.000000	5.454268e-04
237254.170757	0.000000	5.217127e-04
238254.221660	0.000000	4.999747e-04
239254.272562	0.000000	4.799756e-04
240254.323464	0.000000	4.615151e-04
241254.374367	0.000000	4.444220e-04
242254.425269	0.000000	4.285496e-04
243254.476172	0.000000	4.137721e-04
244254.527074	0.000000	3.999798e-04
245254.577977	0.000000	3.870771e-04
246254.628879	0.000000	3.749811e-04
247254.679782	0.000000	3.636180e-04
248254.730684	0.000000	3.529233e-04
249254.781587	0.000000	3.428398e-04
250254.832489	0.000000	3.426597e-04
251254.883392	0.000000	3.527326e-04
252254.934294	0.000000	3.634155e-04
253254.985197	0.000000	3.747658e-04
254255.036099	0.000000	3.868477e-04
255255.087002	0.000000	3.997348e-04
256255.137904	0.000000	4.135099e-04
257255.188807	0.000000	4.282685e-04
258255.239709	0.000000	4.441195e-04
259255.290612	0.000000	4.611889e-04
260255.341514	0.000000	4.796229e-04
261255.392417	0.000000	4.995919e-04
262255.443319	0.000000	5.212960e-04
263255.494222	0.000000	5.449714e-04
264255.545124	0.000000	5.708999e-04
265255.596026	0.000000	5.994186e-04
266255.646929	0.000000	6.309365e-04
267255.697831	0.000000	6.659528e-04
268255.748734	0.000000	7.050842e-04
269255.799636	0.000000	7.491012e-04
270255.850539	0.000000	7.989801e-04
271255.901441	0.000000	8.559753e-04
272255.952344	0.000000	9.217266e-04
273256.003246	0.000000	9.984198e-04
274256.054149	0.000000	1.089034e-03
275256.105051	0.000000	1.197737e-03
276256.155954	0.000000	1.330548e-03
277256.206856	0.000000	1.496485e-03
278256.257759	0.000000	1.709708e-03
279256.308661	0.000000	1.993789e-03
280256.359564	0.000000	2.391086e-03
281256.410466	0.000000	2.986123e-03
282256.461369	0.000000	3.975434e-03
283256.512271	0.000000	5.945046e-03
284256.563174	0.000000	1.178276e-02
285256.614076	0.000000	6.526734e-01
286256.664979	0.049805	1.970176e-03
287256.715881	0.000001	3.824953e-03
288256.766784	0.000000	3.598655e-03
289256.817686	0.000000	3.022809e-03
290256.868588	0.000000	3.008929e-03
291256.919491	0.000000	4.015957e-03
292256.970393	0.000000	6.036128e-03
293257.021296	0.000000	1.214601e-02
294257.072198	0.000000	9.940198e-01
295257.123101	0.000000	1.185627e-02
296257.174003	0.122935	4.639808e-04
297257.224906	0.601210	7.508978e-04
298257.275808	0.189162	4.613418e-04
299257.326711	0.082019	4.587503e-04
300257.377613	0.041032	4.365925e-04
301257.428516	0.022289	4.103870e-04
302257.479418	0.012664	3.866890e-04
303257.530321	0.007374	3.667195e-04
304257.581223	0.004350	3.505443e-04
305257.632126	0.002582	3.371578e-04
306257.683028	0.001537	3.260408e-04
307257.733931	0.000913	3.174405e-04
308257.784833	0.000542	3.093037e-04
309257.835736	0.000321	3.038351e-04
310257.886638	0.000189	2.991133e-04
311257.937541	0.000112	2.941434e-04
312257.988443	0.000065	2.910250e-04
313258.039346	0.000038	2.880032e-04
314258.090248	0.000022	2.856209e-04
315258.141150	0.000013	2.831818e-04
316258.192053	0.000007	2.822679e-04
317258.242955	0.000004	2.796928e-04
318258.293858	0.000003	2.759146e-04
319258.344760	0.000002	2.777096e-04
320258.395663	0.000001	2.730633e-04
321258.446565	0.000001	2.768520e-04
322258.497468	0.000000	2.721893e-04
323258.548370	0.000000	2.767688e-04
324258.599273	0.000000	2.727243e-04
325258.650175	0.041043	4.543007e-06
326258.701078	0.122159	4.502869e-06
327258.751980	0.198833	4.468127e-06
328258.802883	0.271232	4.437778e-06
329258.853785	0.339520	4.411066e-06
330258.904688	0.403859	4.387433e-06
331258.955590	0.464404	4.366435e-06
332259.006493	0.521304	4.347781e-06
333259.057395	0.574695	4.331258e-06
334259.108298	0.624709	4.316638e-06
335259.159200	0.671467	4.303732e-06
336259.210103	0.715081	4.292369e-06
337259.261005	0.755657	4.282461e-06
338259.311908	0.793292	4.273888e-06
339259.362810	0.828073	4.266546e-06
340259.413713	0.860082	4.260400e-06
341259.464615	0.889393	4.255367e-06
342259.515517	0.916071	4.251394e-06
343259.566420	0.940175	4.248449e-06
344259.617322	0.961757	4.246471e-06
345259.668225	0.980861	4.245464e-06
346259.719127	0.997524	4.245381e-06
347259.770030	1.011777	4.246183e-06
348259.820932	1.023642	4.247907e-06
349259.871835	1.033136	4.250504e-06
350259.922737	1.040267	4.253967e-06
351259.973640	1.045035	4.258321e-06
352260.024542	1.047433	4.263542e-06
353260.075445	1.047445	4.269648e-06
354260.126347	1.045045	4.276651e-06
355260.177250	1.040200	4.284560e-06
356260.228152	1.032865	4.293398e-06
357260.279055	1.022984	4.303186e-06
358260.329957	1.010490	4.313957e-06
359260.380860	0.995300	4.325731e-06
360260.431762	0.977319	4.338572e-06
361260.482665	0.956436	4.352509e-06
362260.533567	0.932519	4.367597e-06
363260.584470	0.905416	4.383912e-06
364260.635372	0.874952	4.401512e-06
365260.686275	0.840925	4.420483e-06
366260.737177	0.803099	4.440939e-06
