location	LR	alpha
43442.000000	0.000000	1.200000e+03
44442.113607	0.000000	1.199864e-02
45442.227214	0.000000	5.999319e-03
46442.340821	0.000000	3.999546e-03
47442.454427	0.000000	2.999660e-03
48442.568034	0.217496	5.397181e-05
49442.681641	0.479445	4.817986e-05
50442.795248	0.662847	4.493185e-05
51442.908855	0.787200	4.257446e-05
52443.022462	0.870317	4.057876e-05
53443.136069	0.920992	3.893386e-05
54443.249676	0.930214	3.887680e-05
55443.363282	0.874748	4.462444e-05
56443.476889	0.729656	5.668268e-05
57443.590496	0.414388	1.461142e-04
58443.704103	0.142697	2.431357e-03
59443.817710	1.195951	1.041223e-04
60443.931317	1.693229	8.042932e-05
61444.044924	2.093196	8.535953e-05
62444.158530	2.498158	8.912502e-05
63444.272137	2.915792	9.763907e-05
64444.385744	3.167923	1.792213e-04
65444.499351	2.937528	1.801816e-04
66444.612958	1.938426	1.817235e-04
67444.726565	0.000000	9.977266e-02
68444.840172	0.523889	1.693569e-04
69444.953779	1.494762	1.008633e-04
70445.067385	1.681851	8.851758e-05
71445.180992	1.601598	8.116984e-05
72445.294599	1.441654	7.121498e-05
73445.408206	1.450333	3.984512e-05
74445.521813	1.502530	3.782820e-05
75445.635420	1.490874	3.779694e-05
76445.749027	1.419823	3.885784e-05
77445.862634	1.295517	4.096765e-05
78445.976240	1.117588	4.430992e-05
79446.089847	0.857686	4.924918e-05
80446.203454	0.810390	2.592222e-04
81446.317061	0.710851	3.496016e-04
82446.430668	1.385019	3.951094e-04
83446.544275	2.249030	1.600912e-03
84446.657882	1.352839	4.643258e-04
85446.771488	0.387476	5.670193e-04
86446.885095	0.000000	4.909753e-03
87446.998702	0.000000	8.310244e-03
88447.112309	0.000000	2.703387e-02
89447.225916	0.000000	5.189731e-02
90447.339523	0.000000	9.745486e-03
91447.453130	0.088075	1.264385e-03
92447.566737	0.500141	1.895398e-03
93447.680343	0.367120	7.487081e-04
94447.793950	0.202232	5.558380e-04
95447.907557	0.112494	4.650642e-04
96448.021164	0.061056	4.109780e-04
97448.134771	0.030795	3.781114e-04
98448.248378	0.013422	3.608988e-04
99448.361985	0.004414	3.605551e-04
100448.475591	0.000826	3.841161e-04
101448.589198	0.000068	4.504050e-04
102448.702805	0.030406	2.946453e-05
103448.816412	0.192898	2.734618e-05
104448.930019	0.337027	2.598536e-05
105449.043626	0.450855	2.506298e-05
106449.157233	0.529424	2.443378e-05
107449.270840	0.570931	2.403105e-05
108449.384446	0.575067	2.382417e-05
109449.498053	0.542332	2.380775e-05
110449.611660	0.473783	2.400212e-05
111449.725267	0.371134	2.446137e-05
112449.838874	0.237333	2.530827e-05
113449.952481	0.219172	1.311944e-04
114450.066088	0.234815	1.394839e-04
115450.179695	0.245434	1.498197e-04
116450.293301	0.277136	6.448022e-05
117450.406908	0.375461	6.773933e-05
118450.520515	0.454145	7.322294e-05
119450.634122	0.514970	8.225344e-05
120450.747729	0.563937	9.586624e-05
121450.861336	0.597038	1.158051e-04
122450.974943	0.607375	1.499595e-04
123451.088549	0.603324	2.193925e-04
124451.202156	0.588583	4.119416e-04
125451.315763	0.386600	3.385323e-03
126451.429370	0.664129	5.455661e-04
127451.542977	0.640398	2.522906e-04
128451.656584	0.633226	1.641563e-04
129451.770191	0.626401	1.225015e-04
130451.883798	0.606494	9.973350e-05
131451.997404	0.565015	8.575436e-05
132452.111011	0.507067	7.549689e-05
133452.224618	0.447401	6.580002e-05
134452.338225	0.415663	5.389106e-05
135452.451832	0.434328	4.573111e-05
136452.565439	0.464439	4.187329e-05
137452.679046	0.483124	3.956897e-05
138452.792652	0.484201	3.802890e-05
139452.906259	0.466507	3.697191e-05
140453.019866	0.430717	3.627929e-05
141453.133473	0.378348	3.590988e-05
142453.247080	0.311609	3.588044e-05
143453.360687	0.233737	3.629843e-05
144453.474294	0.150384	3.754849e-05
145453.587901	0.104246	6.494881e-05
146453.701507	0.123523	6.232304e-05
147453.815114	0.139147	6.160313e-05
148453.928721	0.148298	6.147284e-05
149454.042328	0.148970	6.174055e-05
150454.155935	0.139584	6.239800e-05
151454.269542	0.119020	6.351325e-05
152454.383149	0.086816	6.524210e-05
153454.496756	0.043565	6.786433e-05
154454.610362	0.000000	9.368131e-04
155454.723969	0.000000	1.016150e-03
156454.837576	0.000000	1.110170e-03
157454.951183	0.000000	1.223360e-03
158455.064790	0.000000	1.362253e-03
159455.178397	0.000000	1.536724e-03
160455.292004	0.000000	1.762449e-03
161455.405610	0.000000	2.065904e-03
162455.519217	0.000000	2.495591e-03
163455.632824	0.000000	3.150957e-03
164455.746431	0.000000	3.255570e-03
165455.860038	0.000004	3.988934e-03
166455.973645	0.000038	1.057306e-02
167456.087252	0.041036	4.993815e-03
168456.200859	0.000000	1.580609e-02
169456.314465	0.000000	5.302358e-02
170456.428072	0.229555	1.875295e-02
171456.541679	0.210825	1.147256e-03
172456.655286	0.048607	1.327693e-02
173456.768893	0.057055	1.442644e-03
174456.882500	0.080578	7.450475e-04
175456.996107	0.082235	5.290302e-04
176457.109713	0.099053	3.758562e-04
177457.223320	0.288055	2.533586e-04
178457.336927	0.520882	2.276085e-04
179457.450534	0.693349	2.225636e-04
180457.564141	0.767811	2.375282e-04
181457.677748	0.740172	3.742295e-04
182457.791355	0.756287	1.211025e-03
183457.904962	0.693149	1.053540e-03
184458.018568	0.715284	3.661561e-04
185458.132175	0.726562	2.168909e-04
186458.245782	0.728387	1.631657e-04
187458.359389	0.716813	1.353065e-04
188458.472996	0.701049	1.158925e-04
189458.586603	0.688903	1.004360e-04
190458.700210	0.684726	8.784721e-05
191458.813817	0.688967	7.778294e-05
192458.927423	0.700688	6.910694e-05
193459.041030	0.728329	4.502659e-05
194459.154637	0.821940	3.975250e-05
195459.268244	0.921542	3.750695e-05
196459.381851	1.019488	3.603198e-05
197459.495458	1.112990	3.493848e-05
198459.609065	1.200798	3.408447e-05
199459.722671	1.282383	3.338902e-05
200459.836278	1.357605	3.281627e-05
201459.949885	1.426526	3.233512e-05
202460.063492	1.489352	3.192258e-05
203460.177099	1.546353	3.156784e-05
204460.290706	1.597813	3.126606e-05
205460.404313	1.644022	3.101221e-05
206460.517920	1.685265	3.080857e-05
207460.631526	1.721812	3.066992e-05
208460.745133	1.753918	3.063540e-05
209460.858740	1.781880	3.077510e-05
210460.972347	1.806175	3.119393e-05
211461.085954	1.827726	3.202172e-05
212461.199561	1.848297	3.337717e-05
213461.313168	1.870734	3.521726e-05
214461.426774	1.898887	3.743521e-05
215461.540381	1.937653	3.998295e-05
216461.653988	1.993878	4.292915e-05
217461.767595	2.078064	4.645506e-05
218461.881202	2.207810	5.087378e-05
219461.994809	2.416640	5.705625e-05
220462.108416	2.187670	5.830607e-05
221462.222023	1.950242	6.027573e-05
222462.335629	1.747967	6.310332e-05
223462.449236	1.567853	6.644523e-05
224462.562843	1.400856	7.022828e-05
225462.676450	1.240686	7.454119e-05
226462.790057	1.082701	7.957534e-05
227462.903664	0.922962	8.563144e-05
228463.017271	0.757194	9.322953e-05
229463.130878	0.577737	1.034829e-04
230463.244484	0.357371	1.198470e-04
231463.358091	0.000000	1.395930e-02
