location	LR	alpha
153316.000000	0.000000	1.200000e+03
154316.024290	2.643376	9.480972e-05
155316.048580	3.961313	9.065169e-05
156316.072871	4.142139	9.433947e-05
157316.097161	4.274041	1.066266e-04
158316.121451	0.119824	1.200584e-01
159316.145741	4.516178	1.200488e-04
160316.170031	4.431048	1.256814e-04
161316.194322	4.228174	1.332723e-04
162316.218612	3.877710	1.422849e-04
163316.242902	3.894953	5.419240e-05
164316.267192	3.906145	5.859033e-05
165316.291483	3.776642	6.426197e-05
166316.315773	3.470405	7.201490e-05
167316.340063	2.958385	8.314330e-05
168316.364353	2.211850	1.003699e-04
169316.388643	1.838874	4.394882e-04
170316.412934	2.010176	6.244642e-04
171316.437224	1.426384	1.201740e-03
172316.461514	0.136025	2.068728e-01
173316.485804	0.000000	2.376907e-01
174316.510094	0.109587	4.809618e-03
175316.534385	0.490115	4.562181e-03
176316.558675	0.973051	7.293805e-04
177316.582965	1.475647	5.347490e-04
178316.607255	2.016236	3.884802e-04
179316.631546	2.096027	3.006793e-04
180316.655836	2.010409	2.497439e-04
181316.680126	1.927805	2.142206e-04
182316.704416	1.879170	1.862504e-04
183316.728706	1.879864	1.643159e-04
184316.752997	1.908536	1.481390e-04
185316.777287	1.939343	1.355107e-04
186316.801577	1.965525	1.256120e-04
187316.825867	1.949968	1.203791e-04
188316.850157	1.815262	1.197641e-04
189316.874448	1.509970	1.232318e-04
190316.898738	1.048863	1.323273e-04
191316.923028	0.572368	1.533201e-04
192316.947318	0.344539	1.983539e-04
193316.971608	0.339206	2.643438e-04
194316.995899	0.394886	3.549301e-04
195317.020189	0.427006	9.915472e-04
196317.044479	0.612473	2.529725e-03
197317.068769	0.256301	2.532421e-03
198317.093060	0.000000	5.431572e-01
199317.117350	0.000243	1.968231e-02
200317.141640	0.000868	1.264962e-02
201317.165930	0.000000	7.955765e-02
202317.190220	0.002121	1.751158e-02
203317.214511	0.187432	1.063652e-02
204317.238801	0.000000	4.658169e-01
205317.263091	2.027415	7.517322e-03
206317.287381	0.003718	2.031183e-02
207317.311671	1.246344	3.983517e-04
208317.335962	0.747926	3.763268e-04
209317.360252	0.031850	6.091678e-04
210317.384542	0.012984	1.108976e-03
211317.408832	0.493185	3.904480e-01
212317.433123	0.000000	4.808332e-02
213317.457413	0.000000	2.826363e-01
