location	LR	alpha
4797.000000	0.519028	2.753451e+01
5797.024144	0.994064	5.594168e-04
6797.048289	0.003145	1.398147e-01
7797.072433	0.716143	3.060134e-04
8797.096578	1.526142	1.381574e-04
9797.120722	2.011979	1.073248e-04
10797.144867	1.054563	1.026171e-04
11797.169011	0.125952	9.525001e-03
12797.193156	1.049812	6.984278e-05
13797.217300	2.199217	6.103392e-05
14797.241445	2.640726	5.691424e-05
15797.265589	2.768557	5.493976e-05
16797.289734	2.648984	5.465010e-05
17797.313878	2.148480	5.647210e-05
18797.338023	0.116742	6.352246e-05
19797.362167	1.222213	6.404203e-05
20797.386312	2.091616	5.748102e-05
21797.410456	2.235233	5.513041e-05
22797.434601	2.189331	5.543901e-05
23797.458745	2.077872	5.821243e-05
24797.482890	1.942603	6.476091e-05
25797.507034	1.805803	9.013746e-05
26797.531179	1.698847	1.317762e-04
27797.555323	1.195013	2.549008e-04
28797.579468	1.715442	7.789131e-04
29797.603612	1.738933	2.192862e-04
30797.627757	1.731665	1.767775e-04
31797.651901	1.441659	1.816544e-04
32797.676045	1.151537	1.979768e-04
33797.700190	0.905754	2.295813e-04
34797.724334	0.988038	4.106973e-04
35797.748479	0.567456	5.992848e-04
36797.772623	0.262827	1.140029e-03
37797.796768	0.340085	4.929248e-03
38797.820912	0.110866	2.393974e-03
39797.845057	0.000000	1.787963e-02
40797.869201	0.000000	3.648867e-02
41797.893346	0.000000	9.030071e-03
42797.917490	0.096515	8.848011e-04
43797.941635	0.658244	2.461937e-04
44797.965779	0.327561	3.316702e-04
45797.989924	0.001028	2.129488e-02
46798.014068	0.535153	3.452254e-04
47798.038213	1.136656	4.774961e-04
48798.062357	0.665490	6.537945e-04
49798.086502	0.417769	5.935210e-04
50798.110646	0.000683	1.131664e-03
51798.134791	0.000000	1.676293e-02
52798.158935	0.281082	6.279760e-03
53798.183080	0.214695	2.445357e-03
54798.207224	0.413354	1.151128e-03
55798.231369	0.759725	2.184099e-03
56798.255513	0.000000	7.419112e-02
57798.279658	0.514964	3.546712e-03
58798.303802	0.147320	5.915950e-03
59798.327947	0.000000	1.390049e-01
60798.352091	0.936041	4.730990e-03
61798.376235	0.346370	8.243456e-03
62798.400380	0.005133	2.881681e-02
63798.424524	0.000000	2.629132e-02
64798.448669	0.000000	8.239221e-03
65798.472813	0.093921	3.458126e-03
66798.496958	0.654065	1.438669e-03
67798.521102	1.238644	1.464268e-03
68798.545247	0.004702	1.311025e-02
69798.569391	0.002604	8.359777e-03
70798.593536	0.000000	7.290687e-02
71798.617680	0.000000	1.947493e-01
72798.641825	0.000641	3.675858e-03
73798.665969	0.000000	4.037264e-03
