location	LR	alpha
6038.000000	1.019095	1.397211e-04
7038.280323	1.008499	1.755655e-04
8038.560647	0.960204	2.396798e-04
9038.840970	0.669322	4.052208e-04
10039.121294	0.722168	1.378560e-03
11039.401617	0.475058	4.983198e-04
12039.681941	0.000000	2.578882e-02
13039.962264	0.337458	1.698074e-03
14040.242588	0.305446	2.156480e-03
15040.522911	0.554196	2.701455e-04
16040.803235	0.685775	1.892335e-04
17041.083558	0.752946	1.478724e-04
18041.363881	0.790114	1.242428e-04
19041.644205	0.798389	1.118172e-04
20041.924528	0.774576	1.053000e-04
21042.204852	0.720794	1.017247e-04
22042.485175	0.641644	9.981413e-05
23042.765499	0.542023	9.902062e-05
24043.045822	0.426533	9.914550e-05
25043.326146	0.299566	1.003339e-04
26043.606469	0.165877	1.035297e-04
27043.886792	0.034080	1.139149e-04
28044.167116	0.000000	8.410921e-04
29044.447439	0.000000	8.245978e-04
30044.727763	0.000000	8.854606e-04
31045.008086	0.000000	9.560236e-04
32045.288410	0.000000	1.038807e-03
33045.568733	0.000000	1.137287e-03
34045.849057	0.000000	1.256393e-03
35046.129380	0.000000	1.403366e-03
36046.409704	0.000000	1.589280e-03
37046.690027	0.000000	1.831974e-03
38046.970350	0.000000	2.162151e-03
39047.250674	0.000000	2.637508e-03
40047.530997	0.000000	3.380788e-03
41047.811321	0.000000	4.707381e-03
42048.091644	0.000000	7.747393e-03
43048.371968	0.000000	2.187275e-02
44048.652291	0.000000	2.656911e-02
45048.932615	0.000000	1.642320e-01
46049.212938	0.070811	2.997587e-03
47049.493261	0.032206	1.451309e-03
48049.773585	0.000546	1.687950e-03
49050.053908	0.000061	4.218790e-03
50050.334232	0.000061	6.342721e+00
51050.614555	0.000061	4.224410e-03
52050.894879	0.000061	2.111502e-03
53051.175202	0.000061	1.406909e-03
54051.455526	0.001513	7.430914e-04
55051.735849	0.077565	4.852709e-04
56052.016173	0.116227	5.228378e-04
57052.296496	0.236371	2.350324e-04
58052.576819	0.773006	2.108730e-04
59052.857143	1.060661	3.802407e-04
60053.137466	1.056527	1.269850e-03
61053.417790	1.050784	2.425681e-04
62053.698113	0.879757	1.592417e-04
63053.978437	0.630499	1.323572e-04
64054.258760	0.432972	1.234522e-04
65054.539084	0.315260	1.229259e-04
66054.819407	0.253217	1.196036e-04
67055.099730	0.221320	1.144795e-04
68055.380054	0.208496	1.094282e-04
69055.660377	0.209240	1.051726e-04
70055.940701	0.220226	1.019398e-04
71056.221024	0.239455	9.976858e-05
72056.501348	0.265884	9.874713e-05
73056.781671	0.299137	9.873135e-05
74057.061995	0.338752	9.929712e-05
75057.342318	0.383418	9.962283e-05
76057.622642	0.431350	9.948187e-05
77057.902965	0.481147	9.914481e-05
78058.183288	0.532070	9.893434e-05
79058.463612	0.583928	9.912738e-05
80058.743935	0.637209	9.992990e-05
81059.024259	0.693403	1.015138e-04
82059.304582	0.755530	1.040658e-04
83059.584906	0.828782	1.078203e-04
84059.865229	0.921150	1.130086e-04
85060.145553	1.043915	1.198595e-04
86060.425876	1.212559	1.285992e-04
87060.706199	1.450126	1.397112e-04
88060.986523	1.800043	1.550261e-04
89061.266846	2.398883	1.854301e-04
90061.547170	2.378097	1.975318e-04
91061.827493	1.636654	1.881135e-04
92062.107817	1.112473	1.970590e-04
93062.388140	0.697098	2.144862e-04
94062.668464	0.370175	2.407618e-04
95062.948787	0.126285	2.790266e-04
96063.229111	0.000000	2.016546e-03
97063.509434	0.000000	2.424002e-03
98063.789757	0.000000	3.037814e-03
99064.070081	0.000000	4.067894e-03
100064.350404	0.000000	6.154953e-03
101064.630728	0.000000	1.263997e-02
102064.911051	0.094190	9.259062e-02
103065.191375	0.627718	2.756129e-03
104065.471698	0.000000	3.930780e-01
105065.752022	0.055309	4.518326e-03
106066.032345	0.013388	1.451416e-02
107066.312668	0.000000	2.747962e-02
108066.592992	0.098011	2.055256e-03
109066.873315	0.042196	9.550952e-04
110067.153639	0.025811	6.689246e-04
111067.433962	0.072571	4.720168e-04
112067.714286	0.232575	3.719588e-04
113067.994609	0.495270	3.164560e-04
114068.274933	0.851415	2.904294e-04
115068.555256	1.305055	2.954718e-04
116068.835580	2.090553	3.734550e-04
117069.115903	1.744068	4.493883e-04
118069.396226	0.814211	1.985049e-04
119069.676550	0.132566	2.531910e-04
120069.956873	0.000847	3.426613e-03
121070.237197	0.000719	8.880379e-03
122070.517520	0.000000	3.375694e-02
123070.797844	0.000000	1.325163e-02
124071.078167	0.000000	5.186014e-03
125071.358491	0.000000	4.210327e-03
126071.638814	0.000000	3.009534e-03
127071.919137	0.000000	2.582913e-03
128072.199461	0.000000	2.125324e-03
129072.479784	0.061752	1.005598e-04
130072.760108	0.191159	1.164782e-04
131073.040431	0.371572	1.279266e-04
132073.320755	0.522324	1.328866e-04
133073.601078	0.615657	1.395719e-04
134073.881402	0.654356	1.535718e-04
135074.161725	0.672953	1.819992e-04
136074.442049	0.687476	2.203667e-04
137074.722372	0.681093	2.817393e-04
138075.002695	0.662732	4.057628e-04
139075.283019	0.646279	7.088878e-04
140075.563342	0.571216	2.654016e-03
141075.843666	0.743391	1.531851e-03
142076.123989	0.713701	5.820146e-04
143076.404313	0.748322	3.563433e-04
144076.684636	0.875599	2.495478e-04
145076.964960	0.979239	1.948051e-04
146077.245283	1.047734	1.838243e-04
147077.525606	0.368648	6.300143e-04
148077.805930	0.429640	5.888113e-04
149078.086253	1.033470	1.122820e-04
150078.366577	2.010195	7.470884e-05
151078.646900	2.562713	6.709050e-05
152078.927224	2.859237	6.286781e-05
153079.207547	3.033266	5.940518e-05
154079.487871	3.162791	5.617742e-05
155079.768194	3.272601	5.464287e-05
156080.048518	3.354213	5.496896e-05
157080.328841	3.399453	5.644563e-05
158080.609164	3.396741	5.863910e-05
159080.889488	3.330799	6.166429e-05
160081.169811	3.193283	6.627294e-05
161081.450135	3.000554	7.422314e-05
162081.730458	2.821486	8.912577e-05
163082.010782	2.768037	1.127896e-04
164082.291105	2.819859	1.399467e-04
165082.571429	2.945372	1.831524e-04
166082.851752	3.310648	2.669265e-04
167083.132075	3.735137	4.701463e-04
168083.412399	0.445964	6.281796e-02
169083.692722	1.032119	1.378659e-03
170083.973046	1.538528	4.272317e-04
171084.253369	1.759450	2.533961e-04
172084.533693	1.882440	1.800134e-04
173084.814016	1.967674	1.388285e-04
174085.094340	2.038786	1.125370e-04
175085.374663	2.099914	9.479189e-05
176085.654987	2.150778	8.201120e-05
177085.935310	2.194791	7.203272e-05
178086.215633	2.238518	6.363171e-05
179086.495957	2.290264	5.615356e-05
180086.776280	2.358562	4.945342e-05
181087.056604	2.447584	4.384975e-05
182087.336927	2.553149	3.953793e-05
183087.617251	2.667138	3.627703e-05
184087.897574	2.783062	3.374086e-05
185088.177898	2.897259	3.169480e-05
186088.458221	3.008043	2.999063e-05
187088.738544	3.114860	2.853544e-05
188089.018868	3.217709	2.727003e-05
189089.299191	3.316878	2.615553e-05
190089.579515	3.412674	2.516362e-05
191089.859838	3.505458	2.427480e-05
192090.140162	3.595523	2.347230e-05
193090.420485	3.683141	2.274509e-05
194090.700809	3.768512	2.208265e-05
195090.981132	3.851840	2.147649e-05
196091.261456	3.933278	2.091982e-05
197091.541779	4.013004	2.040499e-05
198091.822102	4.091180	1.992860e-05
199092.102426	4.167943	1.948558e-05
200092.382749	4.243464	1.907126e-05
201092.663073	4.317911	1.868302e-05
202092.943396	4.391431	1.831814e-05
