location	LR	alpha
4797.000000	0.000045	4.221349e+02
5797.024144	0.000000	7.016555e-02
6797.048289	0.352288	2.326357e-02
7797.072433	0.628859	1.435907e-03
8797.096578	0.000000	9.405103e-03
9797.120722	0.000000	4.349729e-02
10797.144867	0.000000	1.657128e-02
11797.169011	0.000000	4.585578e-01
12797.193156	0.000000	1.169371e-02
13797.217300	0.000000	5.922367e-03
14797.241445	0.059785	1.403047e-03
15797.265589	0.063142	6.484320e-03
16797.289734	0.062984	2.421203e-03
17797.313878	0.000000	9.004374e-03
18797.338023	0.029545	4.318862e-03
19797.362167	0.000000	4.008523e-02
20797.386312	0.000000	9.235130e-03
21797.410456	0.000000	5.289631e-03
22797.434601	0.000000	9.459505e-03
23797.458745	0.000000	4.468588e-02
24797.482890	0.000000	1.640503e-02
25797.507034	0.000000	6.930379e-03
26797.531179	0.000000	1.495386e-02
27797.555323	0.000000	6.074249e-02
28797.579468	0.000000	2.420357e-01
29797.603612	0.935297	5.992773e-04
30797.627757	0.379889	9.607602e-04
31797.651901	0.221864	6.853564e-04
32797.676045	0.067082	4.847553e-04
33797.700190	0.000000	9.722113e-03
34797.724334	0.000000	5.122171e-02
35797.748479	0.000000	1.567094e-02
36797.772623	0.012925	1.794146e-03
37797.796768	0.000000	4.934146e-02
38797.820912	0.439602	2.485269e-03
39797.845057	0.247655	1.876919e-03
40797.869201	0.213622	4.022662e-03
41797.893346	0.157356	1.015010e-03
42797.917490	0.000000	9.692409e-03
43797.941635	0.000000	5.040782e-02
44797.965779	0.000000	1.574874e-02
45797.989924	0.004887	1.716989e-02
46798.014068	0.000000	2.515798e-02
47798.038213	0.000000	6.743022e-02
48798.062357	0.427371	3.283342e-03
49798.086502	0.282610	1.290132e-03
50798.110646	0.000000	6.993459e-03
51798.134791	0.000000	1.676293e-02
52798.158935	0.096218	8.737555e-03
53798.183080	0.000000	8.811668e-02
54798.207224	0.000000	1.491067e-02
55798.231369	0.000000	6.146555e-02
56798.255513	0.266344	8.382453e-03
57798.279658	0.000000	4.178224e-01
58798.303802	0.000000	6.325905e-02
59798.327947	0.000000	1.390049e-01
60798.352091	0.000000	4.088295e-01
61798.376235	0.288892	2.799366e-03
62798.400380	0.000000	1.160538e-01
63798.424524	0.000000	2.629132e-02
64798.448669	0.000032	3.291090e-03
65798.472813	0.004273	7.629227e-03
66798.496958	0.556364	6.641507e-04
67798.521102	0.055598	4.993622e-02
68798.545247	0.242016	3.032819e-03
69798.569391	0.089943	4.775690e-03
70798.593536	0.000000	7.290687e-02
71798.617680	0.018470	3.589687e-02
72798.641825	0.039230	2.298263e-03
73798.665969	0.010727	1.158066e-03
74798.690114	0.000000	4.264863e-03
75798.714258	0.000000	4.341086e-03
76798.738403	0.000000	6.801714e-03
77798.762547	0.000000	1.570193e-02
78798.786692	0.000000	5.089346e-02
79798.810836	0.467385	2.953282e-03
80798.834981	0.170199	1.393284e-03
81798.859125	0.028990	8.406132e-03
82798.883270	0.000000	3.052529e-02
83798.907414	0.145822	7.276223e-04
84798.931559	1.171739	1.447837e-02
