location	LR	alpha
214253.000000	0.317920	3.284774e+01
215253.050902	0.317920	3.284607e-04
216253.101805	0.317920	1.642304e-04
217253.152707	0.317920	1.094910e-04
218253.203610	0.317888	8.221952e-05
219253.254512	0.317639	6.621189e-05
220253.305415	0.316943	5.575520e-05
221253.356317	0.399739	1.165423e-05
222253.407220	0.491490	6.177790e-06
223253.458122	0.578911	6.065605e-06
224253.509025	0.654555	5.991487e-06
225253.559927	0.720631	5.941256e-06
226253.610830	0.778782	5.906787e-06
227253.661732	0.830258	5.883719e-06
228253.712635	0.876031	5.869622e-06
229253.763537	0.916871	5.862951e-06
230253.814440	0.953391	5.862742e-06
231253.865342	0.986093	5.868310e-06
232253.916245	1.015388	5.879284e-06
233253.967147	1.041616	5.895428e-06
234254.018050	1.065063	5.916577e-06
235254.068952	1.085970	5.942797e-06
236254.119855	1.104543	5.974170e-06
237254.170757	1.120955	6.010850e-06
238254.221660	1.135357	6.053145e-06
239254.272562	1.147882	6.101637e-06
240254.323464	1.158645	6.156831e-06
241254.374367	1.167749	6.219175e-06
242254.425269	1.175286	6.289685e-06
243254.476172	1.181341	6.368795e-06
244254.527074	1.185994	6.457628e-06
245254.577977	1.189320	6.557140e-06
246254.628879	1.191395	6.669874e-06
247254.679782	1.192302	6.799190e-06
248254.730684	1.192135	6.947482e-06
249254.781587	1.190992	7.116174e-06
250254.832489	1.188976	7.307934e-06
251254.883392	1.186216	7.531856e-06
252254.934294	1.182867	7.789182e-06
253254.985197	1.179073	8.080747e-06
254255.036099	1.175002	8.415390e-06
255255.087002	1.170806	8.784575e-06
256255.137904	1.166600	9.190074e-06
257255.188807	1.162457	9.618685e-06
258255.239709	1.158387	1.006656e-05
259255.290612	1.154351	1.052345e-05
260255.341514	1.150264	1.098767e-05
261255.392417	1.146017	1.145760e-05
262255.443319	1.141482	1.193432e-05
263255.494222	1.136511	1.242015e-05
264255.545124	1.130946	1.292011e-05
265255.596026	1.124609	1.343776e-05
266255.646929	1.117304	1.398018e-05
267255.697831	1.108808	1.455294e-05
268255.748734	1.098865	1.516556e-05
269255.799636	1.087181	1.582802e-05
270255.850539	1.073412	1.655425e-05
271255.901441	1.057160	1.736291e-05
272255.952344	1.037965	1.827992e-05
273256.003246	1.015312	1.934361e-05
274256.054149	0.988648	2.061357e-05
275256.105051	0.957461	2.218882e-05
276256.155954	0.921460	2.424284e-05
277256.206856	0.881009	2.710698e-05
278256.257759	0.837810	3.135677e-05
279256.308661	0.794519	3.764085e-05
280256.359564	0.750825	4.637850e-05
281256.410466	0.702092	5.947452e-05
282256.461369	0.648288	8.542378e-05
283256.512271	0.627248	1.583771e-04
284256.563174	0.652427	3.020382e-04
285256.614076	0.000000	6.526734e-01
286256.664979	0.723325	3.343286e-04
287256.715881	0.651923	1.297684e-04
288256.766784	0.764683	8.183708e-05
289256.817686	0.813446	6.992788e-05
290256.868588	0.765449	6.770098e-05
291256.919491	0.607588	7.278867e-05
292256.970393	0.297147	9.113394e-05
293257.021296	0.000000	1.214601e-02
294257.072198	0.000000	9.940198e-01
295257.123101	0.057138	3.033489e-04
296257.174003	0.687138	1.226372e-04
297257.224906	1.041943	8.997289e-05
298257.275808	0.990048	5.892172e-05
299257.326711	0.983016	4.617252e-05
300257.377613	0.986125	3.834465e-05
301257.428516	0.992244	3.297487e-05
302257.479418	0.998718	2.911154e-05
303257.530321	1.004216	2.622073e-05
304257.581223	1.008232	2.394907e-05
305257.632126	1.010852	2.205982e-05
306257.683028	1.012572	2.039347e-05
307257.733931	1.014192	1.883499e-05
308257.784833	1.016805	1.729678e-05
309257.835736	1.021815	1.573019e-05
310257.886638	1.030704	1.418672e-05
311257.937541	1.044200	1.282131e-05
312257.988443	1.061716	1.172595e-05
313258.039346	1.082047	1.086297e-05
314258.090248	1.104120	1.016810e-05
315258.141150	1.127171	9.593660e-06
316258.192053	1.150676	9.106199e-06
317258.242955	1.174243	8.688293e-06
318258.293858	1.197598	8.330341e-06
319258.344760	1.220485	8.019302e-06
320258.395663	1.242715	7.754174e-06
321258.446565	1.264089	7.525732e-06
322258.497468	1.284493	7.327707e-06
323258.548370	1.303805	7.159605e-06
324258.599273	1.321931	7.014634e-06
325258.650175	1.338825	6.888180e-06
326258.701078	1.354458	6.778560e-06
327258.751980	1.368810	6.683287e-06
328258.802883	1.381880	6.599672e-06
329258.853785	1.393680	6.525828e-06
330258.904688	1.404228	6.460621e-06
331258.955590	1.413547	6.403175e-06
332259.006493	1.421658	6.352745e-06
333259.057395	1.428587	6.308389e-06
334259.108298	1.434361	6.269354e-06
335259.159200	1.439007	6.235086e-06
336259.210103	1.442553	6.204992e-06
337259.261005	1.445025	6.178755e-06
338259.311908	1.446448	6.156076e-06
339259.362810	1.446844	6.136752e-06
340259.413713	1.446235	6.120527e-06
341259.464615	1.444638	6.107210e-06
342259.515517	1.442070	6.096666e-06
343259.566420	1.438544	6.088747e-06
344259.617322	1.434071	6.083340e-06
345259.668225	1.428660	6.080364e-06
346259.719127	1.422317	6.079736e-06
347259.770030	1.415045	6.081418e-06
348259.820932	1.406842	6.085343e-06
349259.871835	1.397707	6.091523e-06
350259.922737	1.387633	6.099893e-06
351259.973640	1.376610	6.110506e-06
352260.024542	1.364624	6.123333e-06
353260.075445	1.351658	6.138456e-06
354260.126347	1.337691	6.155873e-06
355260.177250	1.322697	6.175656e-06
356260.228152	1.306647	6.197905e-06
357260.279055	1.289504	6.222688e-06
358260.329957	1.271228	6.250119e-06
359260.380860	1.251773	6.280363e-06
360260.431762	1.231086	6.313549e-06
361260.482665	1.209105	6.349897e-06
362260.533567	1.185764	6.389620e-06
363260.584470	1.160984	6.432993e-06
364260.635372	1.134679	6.480333e-06
365260.686275	1.106750	6.532014e-06
366260.737177	1.077087	6.588529e-06
367260.788079	1.045564	6.650442e-06
368260.838982	1.012039	6.718450e-06
369260.889884	0.976350	6.793502e-06
370260.940787	0.938316	6.876799e-06
371260.991689	0.897729	6.969785e-06
372261.042592	0.854351	7.074101e-06
373261.093494	0.807907	7.191971e-06
374261.144397	0.758077	7.326398e-06
375261.195299	0.704489	7.482141e-06
376261.246202	0.646726	7.667646e-06
377261.297104	0.584310	7.891645e-06
378261.348007	0.516675	8.169101e-06
379261.398909	0.532978	5.860590e-05
380261.449812	0.574697	6.127627e-05
381261.500714	0.621267	6.432728e-05
382261.551617	0.673533	6.788964e-05
383261.602519	0.732462	7.217074e-05
384261.653422	0.799004	7.754057e-05
385261.704324	0.873548	8.473590e-05
386261.755227	0.953881	9.551748e-05
387261.806129	1.026754	1.158926e-04
388261.857032	1.029509	2.014162e-04
389261.907934	1.497944	1.209244e-03
390261.958837	1.144710	1.550996e-04
391262.009739	1.022892	1.184261e-04
392262.060641	0.879729	1.076781e-04
393262.111544	0.739615	1.030405e-04
394262.162446	0.607802	1.009884e-04
395262.213349	0.484328	1.003342e-04
396262.264251	0.368183	1.007450e-04
397262.315154	0.258487	1.026540e-04
398262.366056	0.155056	1.085890e-04
399262.416959	0.067259	4.608777e-05
400262.467861	0.003809	2.269161e-04
401262.518764	0.000000	7.115288e-04
402262.569666	0.000000	1.154528e-03
403262.620569	0.000000	1.549468e-03
404262.671471	0.000000	1.245710e-03
405262.722374	0.000000	2.524527e-03
406262.773276	0.000000	3.672277e-03
407262.824179	0.000000	2.122330e-03
408262.875081	0.000000	2.175628e-03
409262.925984	0.000000	2.796979e-03
410262.976886	0.000000	3.024176e-03
411263.027789	0.000000	4.043165e-03
412263.078691	0.000000	6.097806e-03
413263.129594	0.000000	1.239836e-02
414263.180496	0.000000	6.054643e-01
415263.231399	0.000000	1.224201e-02
416263.282301	0.000000	6.059744e-03
417263.333203	0.000000	4.938950e-03
418263.384106	0.000000	8.393864e-03
419263.435008	0.000000	2.793524e-02
420263.485911	0.000000	2.103470e-02
421263.536813	0.000000	7.640700e-03
422263.587716	0.000000	4.668194e-03
423263.638618	0.000000	3.360744e-03
424263.689521	0.000000	2.625424e-03
425263.740423	0.000000	2.154113e-03
426263.791326	0.000000	1.826264e-03
427263.842228	0.000000	1.585029e-03
428263.893131	0.000000	1.400088e-03
429263.944033	0.000000	1.253795e-03
430263.994936	0.000000	1.135182e-03
431264.045838	0.000000	1.037072e-03
432264.096741	0.000000	9.545707e-04
433264.147643	0.000000	8.842292e-04
434264.198546	0.000000	8.235424e-04
435264.249448	0.000000	7.706511e-04
436264.300351	0.000000	7.241437e-04
437264.351253	0.000000	6.829299e-04
438264.402156	0.000000	6.461550e-04
439264.453058	0.000000	6.131380e-04
440264.503961	0.000000	5.833313e-04
441264.554863	0.000000	5.562882e-04
442264.605765	0.000000	5.316414e-04
443264.656668	0.000000	5.090862e-04
444264.707570	0.000000	4.883667e-04
445264.758473	0.000000	4.692679e-04
446264.809375	0.000000	4.516065e-04
447264.860278	0.000000	4.352264e-04
448264.911180	0.000000	4.199930e-04
449264.962083	0.000000	4.057899e-04
450265.012985	0.000000	3.925159e-04
451265.063888	0.000000	3.800829e-04
452265.114790	0.000000	3.684133e-04
453265.165693	0.024599	7.840672e-06
454265.216595	0.048190	7.802412e-06
455265.267498	0.069856	7.770161e-06
456265.318400	0.089729	7.743298e-06
457265.369303	0.107938	7.721325e-06
458265.420205	0.124601	7.703779e-06
459265.471108	0.139833	7.690285e-06
460265.522010	0.153741	7.680510e-06
461265.572913	0.166426	7.674212e-06
462265.623815	0.177984	7.671170e-06
463265.674718	0.188506	7.671164e-06
464265.725620	0.198076	7.674028e-06
465265.776523	0.206774	7.679627e-06
466265.827425	0.214677	7.687807e-06
467265.878327	0.221854	7.698464e-06
468265.929230	0.228374	7.711493e-06
469265.980132	0.234299	7.726794e-06
470266.031035	0.239688	7.744289e-06
471266.081937	0.244597	7.763896e-06
472266.132840	0.249078	7.785551e-06
473266.183742	0.253179	7.809191e-06
