location	LR	alpha
56834.000000	0.001963	3.324323e+02
57834.025325	0.003482	1.477741e-02
58834.050651	0.003495	3.461582e-03
59834.075976	0.612109	1.310714e-04
60834.101302	2.797836	3.431371e-05
61834.126627	4.308175	3.498910e-05
62834.151953	5.297413	3.624988e-05
63834.177278	5.643640	3.744736e-05
64834.202603	5.736041	3.937305e-05
65834.227929	5.617814	4.213017e-05
66834.253254	5.309326	4.596294e-05
67834.278580	4.807192	5.137976e-05
68834.303905	4.074780	5.995230e-05
69834.329231	3.640262	1.613314e-04
70834.354556	3.283223	2.252316e-04
71834.379881	0.000000	3.795053e-01
72834.405207	0.000000	1.657339e-01
73834.430532	1.606632	3.465096e-04
74834.455858	0.982461	4.890273e-04
75834.481183	0.053393	2.840174e-02
76834.506509	2.288107	1.076283e-03
77834.531834	0.000000	3.805678e-01
78834.557159	0.024165	3.202509e-03
79834.582485	0.888068	8.685009e-03
80834.607810	0.000000	5.097875e-02
81834.633136	0.496054	8.550889e-03
82834.658461	0.736197	3.967398e-03
83834.683787	0.000000	6.422683e-01
84834.709112	1.635019	5.791324e-04
85834.734437	3.023483	2.487251e-04
86834.759763	3.450029	4.773921e-04
87834.785088	1.250179	3.454724e-03
88834.810414	0.637447	1.445667e-03
89834.835739	0.000000	6.606382e-01
90834.861065	4.270384	2.579191e-04
91834.886390	3.148119	4.665824e-04
92834.911715	0.000000	5.771681e-02
93834.937041	2.580883	8.571946e-04
94834.962366	1.261422	1.178360e-02
95834.987692	0.125303	4.543981e-02
96835.013017	0.000000	4.705643e-02
97835.038343	0.685509	1.250237e-02
98835.063668	0.410554	1.518751e-02
99835.088993	0.000015	7.308796e-02
100835.114319	1.428585	4.622537e-03
101835.139644	0.000000	8.227050e-02
102835.164970	0.001963	9.191331e-02
103835.190295	0.205730	4.643425e-03
104835.215620	0.193699	3.842827e-03
105835.240946	0.468291	6.955893e-04
106835.266271	1.142296	3.675501e-04
107835.291597	0.220456	4.057466e-04
108835.316922	1.206674	6.592231e-04
109835.342248	0.001647	6.128923e-02
110835.367573	0.665824	1.715474e-02
111835.392898	0.219459	1.027039e-01
112835.418224	0.000000	2.456912e-02
113835.443549	0.000000	4.537832e-02
114835.468875	0.611876	1.039073e-01
115835.494200	0.172256	2.304854e-03
116835.519526	0.564611	4.954989e-03
117835.544851	1.159244	6.952707e-04
118835.570176	5.159239	2.633635e-04
119835.595502	5.182818	3.559895e-04
120835.620827	2.566097	3.085226e-04
121835.646153	2.641205	1.139886e-04
122835.671478	5.551255	9.753168e-05
123835.696804	4.157024	9.610945e-05
124835.722129	0.000329	1.818237e-02
125835.747454	2.526919	1.592109e-04
126835.772780	0.691153	2.361072e-03
127835.798105	0.000000	2.409731e-01
128835.823431	0.000000	1.910116e-01
129835.848756	0.928629	2.101224e-04
130835.874082	1.030622	9.538271e-04
131835.899407	1.122926	1.085409e-01
132835.924732	0.108448	7.603065e-03
133835.950058	0.000000	1.262495e-01
134835.975383	0.455133	1.185466e-02
135836.000709	0.854742	1.004096e-03
136836.026034	0.221553	1.002410e-02
137836.051360	0.730784	9.482797e-04
138836.076685	0.179206	4.371795e-04
139836.102010	0.000000	1.711791e-01
140836.127336	0.000014	9.088163e-03
141836.152661	0.617643	1.701074e-04
142836.177987	0.981839	1.503610e-04
143836.203312	0.566967	9.296513e-04
144836.228638	0.932713	3.593118e-04
145836.253963	0.000000	1.672567e-01
146836.279288	0.000000	1.379922e-02
147836.304614	0.052532	6.807862e-03
148836.329939	0.139446	1.337932e-03
149836.355265	0.569912	2.415977e-03
150836.380590	0.000000	6.134362e-02
151836.405916	0.000000	1.491785e-02
152836.431241	0.000000	6.650295e-03
153836.456566	0.000000	7.928417e-03
154836.481892	0.000000	2.336821e-02
155836.507217	0.031075	1.223969e-02
156836.532543	0.000000	2.967051e-02
157836.557868	1.660894	8.943062e-04
158836.583194	1.868464	9.727702e-04
159836.608519	0.255260	8.983027e-04
160836.633844	0.000000	3.171531e-02
161836.659170	0.883746	6.975659e-03
162836.684495	0.000018	5.738372e-02
163836.709821	0.865375	3.989842e-03
164836.735146	0.267659	8.038984e-04
165836.760472	0.343624	8.244482e-04
166836.785797	0.000000	2.301407e+00
167836.811122	0.000000	3.193094e-02
168836.836448	0.000000	5.495400e-01
169836.861773	0.372528	8.046005e-03
170836.887099	0.000000	7.541816e-02
171836.912424	0.370439	6.149090e-04
172836.937750	0.093381	2.988744e-04
173836.963075	0.165778	2.275453e-04
174836.988400	0.171513	4.211063e-04
175837.013726	0.000000	1.276783e-01
176837.039051	1.508234	2.185335e-03
177837.064377	0.000014	3.068794e-02
178837.089702	0.000000	9.763219e-02
179837.115028	0.799157	1.831843e-03
180837.140353	0.682570	6.413977e-04
181837.165678	0.199246	9.546831e-04
182837.191004	0.116742	5.632294e-03
183837.216329	0.303692	2.505545e-03
184837.241655	0.001975	3.818610e-02
185837.266980	0.000000	1.975861e-01
186837.292306	0.143399	7.531641e-03
187837.317631	0.000014	1.812145e-02
188837.342956	0.000000	2.050506e-02
189837.368282	0.000000	6.197332e-02
190837.393607	0.000000	1.488108e-02
191837.418933	0.782342	6.289346e-04
