location	LR	alpha
6038.000000	0.160812	6.255864e+01
7038.280323	0.165640	5.967335e-04
8038.560647	0.168286	4.888832e-04
9038.840970	0.145429	2.081406e-03
10039.121294	0.117388	1.912644e-03
11039.401617	0.000000	2.309477e-02
12039.681941	0.000000	2.578882e-02
13039.962264	0.000000	2.353116e-02
14040.242588	1.020644	1.270171e-03
15040.522911	0.264663	7.909942e-04
16040.803235	0.107147	6.427176e-04
17041.083558	0.051241	6.016441e-04
18041.363881	0.027787	5.483179e-04
19041.644205	0.016076	5.001056e-04
20041.924528	0.009669	4.608716e-04
21042.204852	0.005963	4.288636e-04
22042.485175	0.003742	4.030654e-04
23042.765499	0.002375	3.811747e-04
24043.045822	0.001531	3.630063e-04
25043.326146	0.001012	3.455337e-04
26043.606469	0.000757	3.264379e-04
27043.886792	0.000929	2.921413e-04
28044.167116	0.003199	2.394294e-04
29044.447439	0.011327	2.061237e-04
30044.727763	0.022880	1.960000e-04
31045.008086	0.033801	1.957311e-04
32045.288410	0.042532	2.012648e-04
33045.568733	0.049263	2.116799e-04
34045.849057	0.055139	2.266552e-04
35046.129380	0.061428	2.458835e-04
36046.409704	0.069123	2.696623e-04
37046.690027	0.079155	2.990161e-04
38046.970350	0.092880	3.360771e-04
39047.250674	0.112831	3.843343e-04
40047.530997	0.144410	4.498319e-04
41047.811321	0.201269	5.439424e-04
42048.091644	0.328202	6.920710e-04
43048.371968	0.770180	9.852761e-04
44048.652291	0.467117	1.849263e-03
45048.932615	0.000000	1.642320e-01
46049.212938	0.000031	5.791363e-03
47049.493261	0.000000	6.225703e-03
48049.773585	0.000000	5.996323e-03
49050.053908	0.000000	1.198866e-02
50050.334232	0.000000	1.802429e+01
51050.614555	0.000000	1.200463e-02
52050.894879	0.000000	6.000317e-03
53051.175202	0.000000	3.999767e-03
54051.455526	0.000000	2.999658e-03
55051.735849	0.196877	2.225219e-04
56052.016173	0.392989	2.075869e-04
57052.296496	0.567674	2.056621e-04
58052.576819	0.707829	2.502638e-04
59052.857143	0.812881	4.098717e-04
60053.137466	0.816964	1.293403e-03
61053.417790	0.801064	2.799490e-04
62053.698113	0.742650	1.891910e-04
63053.978437	0.683185	1.521176e-04
64054.258760	0.622971	1.354378e-04
65054.539084	0.561748	1.258558e-04
66054.819407	0.499696	1.198444e-04
67055.099730	0.436645	1.161119e-04
68055.380054	0.372470	1.140484e-04
69055.660377	0.307291	1.133808e-04
70055.940701	0.241582	1.139883e-04
71056.221024	0.176213	1.159697e-04
72056.501348	0.112628	1.197433e-04
73056.781671	0.053282	1.266252e-04
74057.061995	0.003849	1.450924e-04
75057.342318	0.000000	8.268647e-04
76057.622642	0.000000	8.880750e-04
77057.902965	0.000000	9.590721e-04
78058.183288	0.000000	1.042407e-03
79058.463612	0.000000	1.141603e-03
80058.743935	0.000000	1.261664e-03
81059.024259	0.000000	1.409944e-03
82059.304582	0.000000	1.597722e-03
83059.584906	0.000000	1.843201e-03
84059.865229	0.000000	2.177805e-03
85060.145553	0.000000	2.660840e-03
86060.425876	0.000000	3.419219e-03
87060.706199	0.000000	4.782223e-03
