location	LR	alpha
219040.000000	1.903629	2.252209e-03
220040.023522	0.000000	3.909095e-02
221040.047044	0.246484	7.895856e-04
222040.070565	0.478424	1.559787e-03
223040.094087	0.053122	9.922803e-03
224040.117609	0.040042	5.725697e-03
225040.141131	0.513005	8.343368e-04
226040.164653	0.002080	3.651013e-02
227040.188174	0.006448	1.287119e-02
228040.211696	0.000000	5.199572e-02
229040.235218	0.010736	5.871191e-02
230040.258740	0.088943	8.982961e-04
231040.282262	0.002651	2.440321e-02
232040.305783	0.255847	1.325968e-03
233040.329305	0.052310	1.381276e-03
234040.352827	0.071681	5.195922e-02
235040.376349	0.584699	6.884957e-03
236040.399871	0.328946	4.946106e-03
237040.423392	0.037252	1.758306e-03
238040.446914	0.001974	3.563696e-03
239040.470436	0.014800	2.734610e-02
240040.493958	0.000000	1.611807e-02
241040.517479	0.000000	1.596280e+00
242040.541001	1.905433	2.106318e-03
243040.564523	0.000028	5.300805e-01
244040.588045	1.093414	1.065947e-02
245040.611567	0.000000	1.130842e+00
246040.635088	0.000000	1.885337e+00
247040.658610	1.593315	9.869043e-03
248040.682132	1.955212	1.651683e-03
249040.705654	0.074448	7.416753e-03
250040.729176	0.078083	1.979228e-02
251040.752697	0.080090	2.065472e-02
252040.776219	0.000000	7.632435e-02
253040.799741	0.677722	2.535851e-02
254040.823263	0.456325	4.144068e-03
255040.846785	0.167816	3.982046e-02
256040.870306	1.638673	1.590260e-03
257040.893828	1.022887	1.437997e-03
258040.917350	0.165100	9.324027e-04
259040.940872	0.000000	1.655741e-02
260040.964394	0.000000	2.973531e+00
261040.987915	0.000000	1.739161e-02
262041.011437	0.000000	1.055420e-02
263041.034959	0.000000	8.761360e-02
264041.058481	0.907989	1.259352e-03
265041.082003	0.516594	1.364567e-03
266041.105524	0.001922	1.209138e-02
267041.129046	0.251618	4.017069e-04
268041.152568	0.493063	3.549057e-04
269041.176090	0.782898	1.088839e-03
270041.199612	0.258972	1.379491e-03
271041.223133	0.886119	3.454510e-04
272041.246655	0.870130	5.589619e-03
273041.270177	0.000000	7.581974e-02
274041.293699	0.632281	3.879020e-04
275041.317221	1.330944	3.022319e-04
276041.340742	0.397799	4.194288e-03
277041.364264	2.459358	1.777933e-04
278041.387786	0.070066	2.084569e-04
279041.411308	0.000000	3.044812e-01
280041.434830	2.056727	2.546601e-04
281041.458351	2.984108	4.107838e-04
282041.481873	0.000000	2.677452e+00
283041.505395	1.188451	4.306371e-04
284041.528917	0.078307	1.746012e-03
285041.552438	0.000000	3.967631e-02
286041.575960	0.000000	2.860031e-02
287041.599482	0.000573	8.448575e-03
288041.623004	0.520125	4.059347e-03
289041.646526	0.279598	1.039200e-03
290041.670047	0.643184	8.333488e-04
291041.693569	0.062738	3.647436e-03
292041.717091	0.000000	4.398360e-01
293041.740613	0.127231	1.228003e-03
294041.764135	0.000000	7.480198e-03
295041.787656	0.000000	1.986057e-02
296041.811178	0.634308	7.405565e-03
297041.834700	0.052943	1.075338e-02
298041.858222	0.369695	2.085804e-03
299041.881744	1.263367	6.074985e-03
300041.905265	0.024253	4.218556e-03
301041.928787	0.012488	1.323564e-02
302041.952309	0.000000	3.937408e+00
303041.975831	1.470740	2.495627e-03
304041.999353	0.002080	3.293039e-01
305042.022874	0.630365	4.751565e-03
306042.046396	1.218387	2.724041e-03
307042.069918	0.000000	6.292636e-01
308042.093440	0.018273	1.492437e-02
309042.116962	0.227846	1.480746e-03
310042.140483	0.000000	6.453291e+00
311042.164005	0.008572	6.054436e-03
312042.187527	0.000000	1.743871e-01
313042.211049	0.000000	1.485352e-01
314042.234571	1.717967	7.792102e-04
315042.258092	0.103708	1.603245e+00
316042.281614	0.000524	2.830527e-01
317042.305136	0.574452	1.130571e-03
318042.328658	0.000000	3.600505e-01
319042.352180	1.389160	8.149872e-04
320042.375701	0.358828	1.311315e-03
321042.399223	0.000000	5.084579e-01
322042.422745	1.076914	3.672444e-03
323042.446267	0.769759	6.032951e-03
324042.469789	0.707003	1.994297e-02
325042.493310	0.410818	3.480187e-03
326042.516832	0.000000	2.961733e-01
327042.540354	0.012445	8.766612e-03
328042.563876	0.059456	2.951697e-03
329042.587397	0.000000	3.516378e+00
330042.610919	0.013472	1.195780e-02
331042.634441	0.772964	1.444611e-02
332042.657963	1.421590	9.716222e-03
333042.681485	0.571485	2.190771e-02
334042.705006	0.871758	6.330663e-03
335042.728528	0.000000	1.660407e-01
336042.752050	1.199122	4.371803e-04
337042.775572	1.597194	3.214989e-04
338042.799094	1.408176	2.872709e-04
339042.822615	0.265009	2.955312e-04
340042.846137	0.027421	1.056571e-03
341042.869659	0.012875	3.516853e-03
342042.893181	0.012875	4.064495e-03
343042.916703	0.002552	1.785329e-03
