location	LR	alpha
153316.000000	0.000000	1.200000e+03
154316.024290	0.787979	1.731799e-04
155316.048580	1.266028	1.773493e-04
156316.072871	1.646160	1.994481e-04
157316.097161	2.024673	2.418940e-04
158316.121451	0.797780	3.843694e-03
159316.145741	1.871193	2.526743e-04
160316.170031	1.433768	2.377729e-04
161316.194322	0.996116	2.434218e-04
162316.218612	0.593830	2.619583e-04
163316.242902	0.247253	2.969703e-04
164316.267192	0.014905	4.170112e-04
165316.291483	0.000000	2.082716e-03
166316.315773	0.000000	2.520117e-03
167316.340063	0.000000	3.190081e-03
168316.364353	0.000000	4.345251e-03
169316.388643	0.000000	6.811946e-03
170316.412934	0.000000	1.575657e-02
171316.437224	0.000000	5.227330e-02
172316.461514	0.036006	2.418878e-01
173316.485804	0.000000	2.376907e-01
174316.510094	0.000024	1.110026e-02
175316.534385	0.000000	9.961350e-02
176316.558675	0.340297	1.261885e-03
177316.582965	1.103952	8.533700e-04
178316.607255	0.901141	6.346918e-04
179316.631546	0.431469	5.156087e-04
180316.655836	0.242907	4.519506e-04
181316.680126	0.149006	4.070898e-04
182316.704416	0.096594	3.718329e-04
183316.728706	0.065944	3.413962e-04
184316.752997	0.050019	3.103267e-04
185316.777287	0.050105	2.738075e-04
186316.801577	0.074292	2.385045e-04
187316.825867	0.128007	2.117557e-04
188316.850157	0.211037	1.939361e-04
189316.874448	0.313218	1.866743e-04
190316.898738	0.417197	1.890391e-04
191316.923028	0.515634	2.001269e-04
192316.947318	0.617221	2.209622e-04
193316.971608	0.742648	2.538278e-04
194316.995899	0.921091	3.038004e-04
195317.020189	1.228363	3.859231e-04
196317.044479	1.314648	6.070393e-04
197317.068769	0.401907	2.313279e-03
198317.093060	2.109342	2.223270e-03
199317.117350	0.000000	5.690370e-02
200317.141640	0.000000	4.287884e-02
201317.165930	0.000000	7.955765e-02
202317.190220	0.004272	1.557470e-02
203317.214511	0.376612	8.094651e-03
204317.238801	0.000000	4.658169e-01
205317.263091	0.000000	7.625387e-01
206317.287381	0.966723	7.529245e-04
207317.311671	0.613690	4.838645e-04
208317.335962	0.229297	5.484593e-04
209317.360252	0.013268	1.005103e-03
210317.384542	0.014934	2.207504e-03
211317.408832	0.000000	4.631117e+00
212317.433123	0.000000	4.808332e-02
213317.457413	0.000000	2.826363e-01
214317.481703	0.000000	1.045142e+00
215317.505993	0.683368	1.527712e-03
216317.530283	0.017159	4.799640e-02
217317.554574	0.000000	8.598789e-02
218317.578864	0.000000	1.921295e-02
219317.603154	0.000000	7.386422e-03
220317.627444	0.000000	4.572078e-03
221317.651734	0.000000	5.043399e-03
222317.676025	0.000000	8.699914e-03
223317.700315	0.000000	3.163725e-02
224317.724605	0.354211	1.145497e-01
225317.748895	0.225841	2.087289e-02
226317.773186	0.000000	9.007199e-02
227317.797476	0.000000	8.403512e-02
228317.821766	0.000000	1.515493e-02
229317.846056	0.000000	1.105834e-02
230317.870346	0.001628	4.445343e-02
231317.894637	0.000000	1.492733e-02
232317.918927	0.034465	2.361011e-02
233317.943217	0.034243	5.453101e-03
234317.967507	0.000000	1.791914e-01
235317.991797	0.000000	5.999755e-02
236318.016088	0.147531	5.551685e-04
237318.040378	0.335125	1.187110e-03
238318.064668	0.205389	7.459475e-02
239318.088958	1.012916	1.058944e-03
240318.113248	0.777843	4.520631e-04
241318.137539	0.570963	3.618088e-04
242318.161829	0.226158	4.106298e-04
243318.186119	0.035143	7.679954e-04
244318.210409	0.000000	1.390837e-02
245318.234700	0.000000	8.744145e-02
246318.258990	0.309794	2.129100e-03
247318.283280	0.255564	9.029235e-04
248318.307570	0.229677	5.709419e-04
249318.331860	0.293789	3.907827e-04
250318.356151	0.421656	3.094341e-04
251318.380441	0.529391	2.555660e-04
252318.404731	0.585056	2.075196e-04
253318.429021	0.361205	2.622055e-03
254318.453311	0.859837	1.695087e-04
255318.477602	0.938856	1.674008e-04
256318.501892	0.881197	1.748318e-04
257318.526182	0.740818	1.990841e-04
258318.550472	0.571826	2.538543e-04
259318.574763	0.273410	3.783101e-04
260318.599053	0.417036	4.512449e-03
261318.623343	0.672094	5.923619e-04
262318.647633	0.350038	1.152941e-03
263318.671923	0.164199	5.361626e-03
264318.696214	0.013732	5.484333e-03
265318.720504	0.284793	1.323815e-03
266318.744794	0.031862	6.403239e-04
267318.769084	0.000000	1.695656e-01
268318.793374	0.000000	1.219257e-02
269318.817665	0.000000	7.586455e-01
270318.841955	0.005820	3.250227e-03
271318.866245	0.467198	2.383785e-04
272318.890535	1.311510	7.509143e-04
273318.914825	0.628308	4.543562e-04
274318.939116	0.070144	4.033892e-04
275318.963406	0.000000	4.898693e-02
276318.987696	0.000000	9.638652e-03
277319.011986	0.027392	8.300306e-05
278319.036277	0.133967	7.140551e-05
