location	LR	alpha
43442.000000	0.000000	1.200000e+03
44442.113607	0.000000	1.199864e-02
45442.227214	0.000000	5.999319e-03
46442.340821	0.000000	3.999546e-03
47442.454427	0.000000	2.999660e-03
48442.568034	0.000000	2.399728e-03
49442.681641	0.000000	1.999773e-03
50442.795248	0.000000	1.714091e-03
51442.908855	0.000000	1.783567e-03
52443.022462	0.000000	2.094981e-03
53443.136069	0.000000	2.538145e-03
54443.249676	0.000000	3.219100e-03
55443.363282	0.000000	4.399413e-03
56443.476889	0.000000	6.946362e-03
57443.590496	0.000000	1.649690e-02
58443.704103	0.000000	4.400374e-02
59443.817710	0.342010	1.329548e-04
60443.931317	0.924959	1.070754e-04
61444.044924	1.357490	9.906335e-05
62444.158530	1.801814	1.111375e-04
63444.272137	2.243256	1.460741e-04
64444.385744	2.489896	3.572664e-04
65444.499351	2.597887	3.525484e-04
66444.612958	2.040281	1.548995e-04
67444.726565	0.105471	5.832369e-03
68444.840172	1.071815	1.147369e-04
69444.953779	1.141519	1.026641e-04
70445.067385	0.996724	1.056342e-04
71445.180992	0.836325	1.099308e-04
72445.294599	0.664819	1.148910e-04
73445.408206	0.485505	1.216610e-04
74445.521813	0.307411	1.312801e-04
75445.635420	0.143670	1.456085e-04
76445.749027	0.010499	1.671957e-04
77445.862634	0.000000	2.737141e-03
78445.976240	0.000000	3.546075e-03
79446.089847	0.000000	5.033748e-03
80446.203454	0.040608	9.294350e-04
81446.317061	0.149548	1.841131e-03
82446.430668	0.000000	1.946691e-02
83446.544275	0.000000	2.287644e-01
84446.657882	0.000000	1.286646e-02
85446.771488	0.000000	6.208702e-03
86446.885095	0.000000	4.909753e-03
87446.998702	0.000000	8.310244e-03
88447.112309	0.000000	2.703387e-02
89447.225916	0.000000	5.189731e-02
90447.339523	0.000000	9.745486e-03
91447.453130	0.354066	9.205591e-04
92447.566737	1.624996	7.102984e-04
93447.680343	0.921880	4.974968e-04
94447.793950	0.563499	4.005455e-04
95447.907557	0.396455	3.411317e-04
96448.021164	0.300770	2.991047e-04
97448.134771	0.239174	2.673298e-04
98448.248378	0.196389	2.422417e-04
99448.361985	0.344305	3.943973e-05
100448.475591	0.504671	3.599066e-05
101448.589198	0.661491	3.314018e-05
102448.702805	0.815038	3.072343e-05
103448.816412	0.965945	2.863935e-05
104448.930019	1.114720	2.682325e-05
105449.043626	1.261584	2.523313e-05
106449.157233	1.406341	2.384599e-05
107449.270840	1.548310	2.264503e-05
108449.384446	1.686426	2.161736e-05
109449.498053	1.819528	2.074666e-05
110449.611660	1.946584	2.001306e-05
111449.725267	2.066920	1.939792e-05
112449.838874	2.180249	1.888369e-05
113449.952481	2.286693	1.845573e-05
114450.066088	2.386720	1.810349e-05
115450.179695	2.481115	1.781972e-05
116450.293301	2.570945	1.760039e-05
117450.406908	2.657568	1.744440e-05
118450.520515	2.742676	1.735423e-05
119450.634122	2.828363	1.733757e-05
120450.747729	2.917282	1.741012e-05
121450.861336	3.012919	1.760093e-05
122450.974943	3.127034	5.657660e-05
123451.088549	3.492616	5.729422e-05
124451.202156	3.947669	5.968765e-05
125451.315763	4.597993	7.174667e-05
126451.429370	4.139397	5.916042e-05
127451.542977	3.678937	5.266054e-05
128451.656584	3.345238	4.875416e-05
129451.770191	3.084228	4.572252e-05
130451.883798	2.871656	4.311596e-05
131451.997404	2.694498	4.080786e-05
132452.111011	2.544387	3.884295e-05
133452.224618	2.414816	3.730038e-05
134452.338225	2.300296	3.618941e-05
135452.451832	2.196527	3.543523e-05
136452.565439	2.100258	3.495217e-05
137452.679046	2.009073	3.466321e-05
138452.792652	1.921109	3.452263e-05
139452.906259	1.834859	3.450229e-05
140453.019866	1.749069	3.458599e-05
141453.133473	1.662676	3.476651e-05
142453.247080	1.574772	3.504233e-05
143453.360687	1.484592	3.541774e-05
144453.474294	1.391515	3.590415e-05
145453.587901	1.295086	3.652036e-05
146453.701507	1.195041	3.729142e-05
147453.815114	1.091355	3.825457e-05
148453.928721	0.984317	3.946061e-05
149454.042328	0.874597	4.097266e-05
150454.155935	0.763308	4.286651e-05
151454.269542	0.651985	4.521444e-05
152454.383149	0.542440	4.808176e-05
153454.496756	0.436498	5.151254e-05
154454.610362	0.335790	5.557826e-05
155454.723969	0.241746	6.038660e-05
156454.837576	0.155799	6.616088e-05
157454.951183	0.079750	7.329696e-05
158455.064790	0.015884	8.241289e-05
159455.178397	0.000000	1.610129e-03
160455.292004	0.000000	1.859684e-03
161455.405610	0.000000	2.200787e-03
162455.519217	0.000000	2.695127e-03
163455.632824	0.000000	3.475877e-03
164455.746431	0.000000	4.893458e-03
165455.860038	0.000000	8.263668e-03
166455.973645	0.000000	2.654713e-02
167456.087252	0.234897	4.400307e-03
168456.200859	0.025165	2.897595e-03
169456.314465	0.000000	5.302358e-02
170456.428072	0.036927	2.011971e-02
171456.541679	1.016348	9.091052e-04
172456.655286	1.206736	1.481079e-03
173456.768893	1.072999	3.587466e-04
174456.882500	0.816657	2.753600e-04
175456.996107	0.573645	2.405742e-04
176457.109713	0.326392	2.549431e-04
177457.223320	0.097141	2.864000e-04
178457.336927	0.000000	2.699867e-03
179457.450534	0.000000	3.483765e-03
180457.564141	0.000000	4.909109e-03
181457.677748	0.000000	8.308396e-03
182457.791355	0.000000	2.701434e-02
183457.904962	0.000000	2.459496e-02
184458.018568	0.000000	8.064415e-03
185458.132175	0.000000	4.822896e-03
186458.245782	0.000000	3.440125e-03
187458.359389	0.000000	2.673583e-03
188458.472996	0.000000	2.186401e-03
189458.586603	0.000000	1.849401e-03
190458.700210	0.000000	1.602415e-03
191458.813817	0.000000	1.413625e-03
192458.927423	0.000000	1.264632e-03
193459.041030	0.000000	1.144051e-03
194459.154637	0.000000	1.044464e-03
195459.268244	0.000000	9.608250e-04
196459.381851	0.000000	8.895887e-04
197459.495458	0.000000	8.281864e-04
198459.609065	0.000000	7.747132e-04
199459.722671	0.000000	7.277261e-04
200459.836278	0.000000	6.861129e-04
201459.949885	0.036820	2.577538e-05
202460.063492	0.106904	2.517197e-05
203460.177099	0.168134	2.473929e-05
204460.290706	0.218330	2.444540e-05
205460.404313	0.255481	2.427476e-05
206460.517920	0.277544	2.422374e-05
207460.631526	0.282293	2.429831e-05
208460.745133	0.267193	2.451629e-05
209460.858740	0.229284	2.491286e-05
210460.972347	0.165107	2.555294e-05
211461.085954	0.070750	2.656608e-05
212461.199561	0.000000	1.688761e-03
213461.313168	0.000000	1.965381e-03
214461.426774	0.000000	2.350373e-03
215461.540381	0.000000	2.922937e-03
216461.653988	0.000000	3.864305e-03
217461.767595	0.000000	5.700084e-03
218461.881202	0.000000	1.085856e-02
219461.994809	0.000000	1.142801e-01
220462.108416	0.000000	1.340620e-02
221462.222023	0.000000	6.331713e-03
222462.335629	0.000000	4.144598e-03
223462.449236	0.263050	4.299199e-05
224462.562843	0.811939	4.080881e-05
225462.676450	1.234348	3.996044e-05
226462.790057	1.571964	3.987913e-05
227462.903664	1.851872	4.041780e-05
228463.017271	2.094740	4.157911e-05
229463.130878	2.320187	4.346038e-05
230463.244484	2.551625	4.626252e-05
231463.358091	2.823786	5.036292e-05
