location	LR	alpha
6038.000000	3.028117	5.304723e-04
7038.280323	1.434605	3.926695e-04
8038.560647	0.749516	5.179404e-04
9038.840970	0.552363	1.322961e-03
10039.121294	0.124362	2.310212e-03
11039.401617	0.000000	2.309477e-02
12039.681941	0.000000	2.578882e-02
13039.962264	0.000000	2.353116e-02
14040.242588	0.834083	1.880112e-03
15040.522911	0.218918	1.089787e-03
16040.803235	0.080909	8.371828e-04
17041.083558	0.030252	7.057523e-04
18041.363881	0.009239	6.419082e-04
19041.644205	0.001750	6.437099e-04
20041.924528	0.085610	4.443945e-05
21042.204852	0.109406	4.260810e-05
22042.485175	0.080481	4.214070e-05
23042.765499	0.029174	4.381050e-05
24043.045822	0.000000	7.622543e-04
25043.326146	0.005268	5.291640e-05
26043.606469	0.023434	5.589972e-05
27043.886792	0.039783	5.849929e-05
28044.167116	0.050323	6.129436e-05
29044.447439	0.057039	6.495448e-05
30044.727763	0.071963	7.127862e-05
31045.008086	0.135377	8.756402e-05
32045.288410	0.246811	9.608539e-05
33045.568733	0.357331	9.976846e-05
34045.849057	0.458421	1.039028e-04
35046.129380	0.546191	1.094705e-04
36046.409704	0.620173	1.172113e-04
37046.690027	0.683271	1.277839e-04
38046.970350	0.738597	1.417265e-04
39047.250674	0.786296	1.603147e-04
40047.530997	0.825156	1.866591e-04
41047.811321	0.853941	2.275741e-04
42048.091644	0.867203	3.010127e-04
43048.371968	0.788720	4.653842e-04
44048.652291	0.793581	8.264069e-04
45048.932615	0.000001	7.977191e-02
46049.212938	0.494276	1.242226e-03
47049.493261	0.498717	5.585604e-04
48049.773585	0.098003	3.115002e-04
49050.053908	0.022838	2.045859e-03
50050.334232	0.022835	3.075963e+00
51050.614555	0.022835	2.048668e-03
52050.894879	0.022845	1.023842e-03
53051.175202	0.293128	1.412466e-04
54051.455526	0.419511	1.174663e-04
55051.735849	0.368922	1.030250e-04
56052.016173	0.231646	2.827109e-04
57052.296496	0.283195	2.771731e-04
58052.576819	0.249402	4.410548e-04
59052.857143	0.248041	1.030656e-03
60053.137466	0.246457	3.440365e-03
61053.417790	0.247449	6.444893e-04
62053.698113	0.247932	3.539612e-04
63053.978437	0.253752	2.295691e-04
64054.258760	0.282991	1.503380e-04
65054.539084	0.308977	1.292691e-04
66054.819407	0.318577	1.176877e-04
67055.099730	0.313200	1.100686e-04
68055.380054	0.294058	1.048144e-04
69055.660377	0.262189	1.011584e-04
70055.940701	0.218786	9.866022e-05
71056.221024	0.165237	9.707359e-05
72056.501348	0.103310	9.640053e-05
73056.781671	0.034982	9.716800e-05
74057.061995	0.000000	8.430485e-04
75057.342318	0.000000	8.268647e-04
76057.622642	0.000000	8.880750e-04
77057.902965	0.000000	9.590721e-04
78058.183288	0.000000	1.042407e-03
