location	LR	alpha
56834.000000	0.723316	2.019294e+01
57834.025325	1.390272	2.881261e-04
58834.050651	2.145663	1.589500e-04
59834.075976	2.312985	1.471597e-04
60834.101302	2.365766	1.455160e-04
61834.126627	2.291478	1.584921e-04
62834.151953	0.326199	3.531861e-03
63834.177278	1.866146	1.595404e-04
64834.202603	1.623821	1.605052e-04
65834.227929	1.321371	1.724365e-04
66834.253254	1.064342	1.914882e-04
67834.278580	0.885646	2.224148e-04
68834.303905	0.831714	2.720909e-04
69834.329231	0.899732	3.491525e-04
70834.354556	0.268852	6.615198e-04
71834.379881	2.405974	8.412023e-04
72834.405207	0.997488	4.795341e-03
73834.430532	0.386993	1.288790e-03
74834.455858	0.000000	1.364343e-02
75834.481183	0.002532	5.493942e-02
76834.506509	0.000000	1.610879e-01
77834.531834	0.000000	3.805678e-01
78834.557159	0.000000	2.314114e-02
79834.582485	0.000000	3.280260e-01
80834.607810	0.000000	5.097875e-02
81834.633136	0.304952	5.016896e-02
82834.658461	0.743243	1.451237e-03
83834.683787	2.799384	1.128169e-03
84834.709112	3.491863	8.773676e-04
85834.734437	1.358260	3.203370e-03
86834.759763	0.000000	7.351129e-02
87834.785088	0.000000	1.226356e+00
88834.810414	0.457546	6.631918e-03
89834.835739	0.140692	8.888333e-03
90834.861065	0.038021	1.291964e-02
91834.886390	0.000000	3.085913e-01
92834.911715	0.000000	5.771681e-02
93834.937041	0.000000	3.643316e-01
94834.962366	0.000000	8.020124e-01
95834.987692	0.000000	4.617572e-01
96835.013017	0.000000	4.705643e-02
97835.038343	0.000000	7.518019e-01
98835.063668	1.005750	1.317545e-02
99835.088993	0.000000	1.375892e-01
100835.114319	0.097099	8.021595e-02
101835.139644	0.000000	8.227050e-02
102835.164970	0.000000	2.545395e-01
103835.190295	0.288459	2.189060e-03
104835.215620	0.138282	4.252520e-03
105835.240946	0.504185	5.838885e-04
106835.266271	2.270087	4.055951e-04
107835.291597	2.295455	4.455256e-04
108835.316922	3.001019	6.656532e-04
109835.342248	3.867092	2.784235e-03
