location	LR	alpha
43442.000000	0.000000	1.200000e+03
44442.113607	0.000000	1.199864e-02
45442.227214	0.000000	5.999319e-03
46442.340821	0.000000	3.999546e-03
47442.454427	0.328524	2.475026e-05
48442.568034	0.760696	1.729622e-05
49442.681641	1.076106	1.687794e-05
50442.795248	1.299278	1.679688e-05
51442.908855	1.446590	1.690898e-05
52443.022462	1.525771	1.718149e-05
53443.136069	1.537357	1.762173e-05
54443.249676	1.473421	1.827223e-05
55443.363282	1.311141	1.924249e-05
56443.476889	0.988586	2.085312e-05
57443.590496	0.271792	3.367886e-05
58443.704103	0.257659	1.255104e-03
59443.817710	0.710686	4.263834e-05
60443.931317	0.974028	4.491691e-05
61444.044924	0.960843	5.101441e-05
62444.158530	0.850039	1.180643e-04
63444.272137	0.746246	1.602658e-04
64444.385744	0.296544	5.180503e-04
65444.499351	0.533146	4.814018e-04
66444.612958	0.797792	1.962217e-04
67444.726565	0.474748	2.208394e-03
68444.840172	0.929243	5.785737e-05
69444.953779	1.627835	3.463876e-05
70445.067385	2.083497	3.163786e-05
71445.180992	2.355552	3.088348e-05
72445.294599	2.507047	3.108589e-05
73445.408206	2.572118	3.199539e-05
74445.521813	2.570893	3.359176e-05
75445.635420	2.514845	3.595986e-05
76445.749027	2.407280	3.926225e-05
77445.862634	2.239601	4.374357e-05
78445.976240	1.980251	4.976414e-05
79446.089847	1.542981	5.811958e-05
80446.203454	0.672053	7.237161e-05
81446.317061	0.000000	3.127582e-02
82446.430668	0.000000	1.946691e-02
83446.544275	0.370640	4.866437e-03
84446.657882	1.211329	1.302836e-04
85446.771488	1.886393	1.252599e-04
86446.885095	1.798319	1.633855e-04
87446.998702	1.676266	2.704629e-04
88447.112309	1.742299	6.974970e-04
89447.225916	0.786533	1.686954e-03
90447.339523	1.737865	3.399797e-04
91447.453130	2.340295	2.020296e-04
92447.566737	2.900603	1.497174e-04
93447.680343	2.638721	1.084963e-04
94447.793950	2.459442	8.515673e-05
95447.907557	2.375833	6.886400e-05
96448.021164	2.356013	5.668647e-05
97448.134771	2.376672	4.824737e-05
98448.248378	2.414509	4.230385e-05
99448.361985	2.457760	3.775644e-05
100448.475591	2.503059	3.401612e-05
101448.589198	2.550595	3.081248e-05
102448.702805	2.601295	2.804753e-05
103448.816412	2.655157	2.571343e-05
104448.930019	2.710661	2.380373e-05
105449.043626	2.765311	2.227020e-05
106449.157233	2.816481	2.104128e-05
107449.270840	2.861940	2.004897e-05
108449.384446	2.899928	1.923560e-05
109449.498053	2.928990	1.855972e-05
110449.611660	2.947827	1.799285e-05
111449.725267	2.955077	1.751381e-05
112449.838874	2.949179	1.710868e-05
113449.952481	2.928181	1.676796e-05
114450.066088	2.889573	1.648539e-05
115450.179695	2.830034	1.625740e-05
116450.293301	2.745093	1.608338e-05
117450.406908	2.628590	1.596453e-05
118450.520515	2.471803	1.590454e-05
119450.634122	2.261885	1.591063e-05
120450.747729	1.978899	1.599461e-05
121450.861336	1.589573	1.617684e-05
122450.974943	1.032205	1.649432e-05
123451.088549	0.171700	1.702538e-05
124451.202156	0.115844	5.259292e-04
125451.315763	0.068337	3.616557e-03
126451.429370	0.132632	7.397382e-04
127451.542977	0.127421	3.357712e-04
128451.656584	0.659928	1.496702e-05
129451.770191	1.273389	1.401253e-05
130451.883798	1.703006	1.327490e-05
131451.997404	2.022048	1.269978e-05
132452.111011	2.267065	1.225109e-05
133452.224618	2.458549	1.189971e-05
134452.338225	2.609016	1.162582e-05
135452.451832	2.726569	1.141509e-05
136452.565439	2.816718	1.125587e-05
137452.679046	2.883352	1.114031e-05
138452.792652	2.929281	1.106347e-05
139452.906259	2.956577	1.102214e-05
140453.019866	2.966793	1.101456e-05
141453.133473	2.961110	1.104044e-05
142453.247080	2.940448	1.110106e-05
143453.360687	2.905557	1.119961e-05
144453.474294	2.857100	1.134179e-05
145453.587901	2.795760	1.153706e-05
146453.701507	2.722383	1.180117e-05
147453.815114	2.638228	1.216318e-05
148453.928721	2.545463	1.267806e-05
149454.042328	2.448017	1.344579e-05
150454.155935	2.352676	1.460254e-05
151454.269542	2.266312	1.603151e-05
152454.383149	2.188609	1.741394e-05
153454.496756	2.114718	1.870879e-05
154454.610362	2.040258	1.998937e-05
155454.723969	1.961778	2.133372e-05
156454.837576	1.876269	2.282021e-05
157454.951183	1.780901	2.455604e-05
158455.064790	1.673187	2.672793e-05
159455.178397	1.552307	2.978638e-05
160455.292004	1.427031	3.594303e-05
161455.405610	1.393135	5.788120e-05
162455.519217	1.424619	7.012629e-05
163455.632824	1.456433	8.362382e-05
164455.746431	1.456329	1.038196e-04
165455.860038	1.371095	1.459938e-04
166455.973645	1.172584	3.665955e-04
167456.087252	0.525720	1.694280e-03
168456.200859	0.825317	2.584231e-04
169456.314465	0.000000	5.302358e-02
170456.428072	0.000000	3.700498e-01
171456.541679	0.798850	3.798442e-04
172456.655286	2.734047	2.157663e-04
173456.768893	1.960222	1.262924e-04
174456.882500	1.745680	6.825594e-05
175456.996107	1.570572	6.269708e-05
176457.109713	1.313984	6.381360e-05
177457.223320	0.984950	7.009113e-05
178457.336927	0.581810	8.093767e-05
179457.450534	0.080531	1.012274e-04
180457.564141	0.000000	4.877185e-03
181457.677748	0.000000	8.217367e-03
182457.791355	0.000000	2.607513e-02
183457.904962	0.000000	2.003034e-02
184458.018568	0.000000	7.792115e-03
185458.132175	0.000000	4.724166e-03
186458.245782	0.000000	3.389595e-03
187458.359389	0.000000	2.642963e-03
188458.472996	0.000000	2.165880e-03
189458.586603	0.000000	1.834698e-03
190458.700210	0.094392	4.550881e-05
191458.813817	0.215377	4.072320e-05
192458.927423	0.314380	3.703163e-05
193459.041030	0.395507	3.414696e-05
194459.154637	0.461169	3.187083e-05
195459.268244	0.513186	3.000961e-05
196459.381851	0.553490	2.840502e-05
197459.495458	0.584389	2.687457e-05
198459.609065	0.609126	2.512917e-05
199459.722671	0.664573	1.546156e-05
200459.836278	0.793994	1.420209e-05
201459.949885	0.919115	1.354258e-05
202460.063492	1.034723	1.310195e-05
203460.177099	1.139174	1.278655e-05
204460.290706	1.231898	1.255549e-05
205460.404313	1.312794	1.238673e-05
206460.517920	1.381962	1.226842e-05
207460.631526	1.439594	1.219306e-05
208460.745133	1.485915	1.215585e-05
209460.858740	1.521159	1.215377e-05
210460.972347	1.545553	1.218500e-05
211461.085954	1.559305	1.224886e-05
212461.199561	1.562603	1.234543e-05
213461.313168	1.555607	1.247563e-05
214461.426774	1.538454	1.264117e-05
215461.540381	1.511251	1.284480e-05
216461.653988	1.474087	1.309050e-05
217461.767595	1.427049	1.338440e-05
218461.881202	1.370264	1.373652e-05
219461.994809	1.541714	2.257331e-04
220462.108416	1.194177	6.575992e-05
221462.222023	1.014840	6.239845e-05
222462.335629	0.870389	6.170234e-05
223462.449236	0.746231	6.194672e-05
224462.562843	0.634466	6.274700e-05
225462.676450	0.529718	6.400238e-05
226462.790057	0.427149	6.581710e-05
227462.903664	0.320455	6.850990e-05
228463.017271	0.198119	7.282287e-05
229463.130878	0.034920	8.045544e-05
230463.244484	0.000000	6.452463e-03
231463.358091	0.000000	1.395930e-02
